qufu(3).Resampled(3).Label-Analysis(2),,,,,,,,,,13.692,,,,,,,,,21213
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,,13.692,,20,12278,21213,0.578796021,,,,
2752,987.724,17.3867,2784.72,685.149,1004.42,1,,,,13.692,,30,4797,21213,0.226134917,,,,
3264,1075.83,18.4042,2755.03,764.985,1000.11,2,,,,13.692,,40,1612,21213,0.075991138,,,24.56,
3200,1043.13,18.2831,2837.04,969.743,1002.13,3,,,,13.692,,50,888,21213,0.041861123,,,,
1408,609.976,13.906,3846.23,1002.19,1001.84,4,,,,13.692,,60,571,21213,0.026917456,,,,
4992,1748.83,21.2044,2724.6,1091.36,1006.93,5,,,,13.692,,70,436,21213,0.020553434,,,,
3712,1235.32,19.2104,3957.16,1230.28,1004.59,6,,,,13.692,,80,264,21213,0.012445199,,,,
25024,4316.5,36.2899,3599.62,2126.07,1012.19,7,,,,13.692,,90,181,21213,0.008532504,,,,
11264,2442.27,27.8119,3519.89,2909.83,1006,8,,,,13.692,,100,87,21213,0.004101259,,,,
1984,742.674,15.5901,3211.47,4362.72,1002.67,9,,,,13.692,,110,54,21213,0.002545609,,,,
15936,3153.39,31.222,2672.98,4408.34,1007.46,10,,,,13.692,,120,25,21213,0.001178523,,,,
3072,1026.58,18.036,2847.21,4702.69,1000.51,11,,,,13.692,,130,10,21213,0.000471409,,,,
1920,732.867,15.4206,3326.82,1070.7,1005.06,12,,,,13.692,,140,1,21213,4.71409E-05,,,,
1344,556.864,13.692,3990.96,1071.86,1004.07,13,,,,13.692,,150,6,21213,0.000282845,,,,
2816,968.335,17.5204,3945.96,1094.74,1008.2,14,,,,13.692,,160,1,21213,4.71409E-05,,,,
2688,948.127,17.2508,3748.48,1337.2,1009.03,15,,,,13.692,,170,2,21213,9.42818E-05,,,,
2560,935.616,16.9726,3111.36,1660.3,1002.93,16,,,,13.692,,,,,,,,,
6784,1745.95,23.4871,3531.75,1706.88,1007.84,17,,,,13.692,,,,,,,,,
10112,2283.55,26.8295,2325.44,1741.03,1010.73,18,,,,13.692,,,,,,,,,
21376,3902.08,34.4331,2758.91,2060.04,1015.72,19,,,,13.692,,,,,,,,,
7552,1866.54,24.3419,3033.53,2129.65,1011.34,20,,,,13.692,,,,,,,,,
61376,7882.54,48.9403,2847.84,2227.27,1024.1,21,,,,13.692,,,,,,,,,
1536,695.118,14.3152,2250.62,3490.94,1005.6,22,,,,13.692,,,,,,,,,
1856,703.102,15.2473,3422.96,3648.07,1005.41,23,,,,13.692,,,,,,,,,
2688,925.109,17.2508,3216.67,3873.2,1006.26,24,,,,13.692,,,,,,,,,
8832,2215.58,25.646,3425.16,4063.19,1007.97,25,,,,13.692,,,,,,,,,
1792,687.911,15.07,2626.38,4429.67,1003.79,26,,,,13.692,,,,,,,,,
4864,1406.1,21.0216,2888.9,4489.68,1007.51,27,,,,13.692,,,,,,,,,
1536,640.33,14.3152,2621.96,4780.44,1005.76,28,,,,13.692,,,,,,,,,
1920,732.684,15.4206,2339.62,4799.1,1003.33,29,,,,13.692,,,,,,,,,
2752,922.456,17.3867,2337.93,4904.22,1005.54,30,,,,13.692,,,,,,,,,
9792,2294.93,26.5435,3930.98,1133.19,1015.77,31,,,,13.692,,,,,,,,,
2432,874.443,16.6848,3959.69,1260.89,1008.62,32,,,,13.692,,,,,,,,,
8896,2095.32,25.7078,3363.73,1630.01,1015.42,33,,,,13.692,,,,,,,,,
402688,29682,91.62,2320.88,1821.64,1059.83,34,,,,13.692,,,,,,,,,
2880,966.559,17.6522,3584.91,2083.81,1009.95,35,,,,13.692,,,,,,,,,
16640,3274.29,31.6751,3650.79,2570.38,1019.22,36,,,,13.692,,,,,,,,,
17536,3342.16,32.2337,3185.82,2799.5,1020.52,37,,,,13.692,,,,,,,,,
19648,3549.18,33.4791,2454.62,3304.67,1017.73,38,,,,13.692,,,,,,,,,
4480,1313.8,20.4531,3554.21,3874.13,1012.76,39,,,,13.692,,,,,,,,,
5760,1559.49,22.2403,3104.47,4130.35,1012.22,40,,,,13.692,,,,,,,,,
1408,580.418,13.906,3284.41,4162.56,1006.2,41,,,,13.692,,,,,,,,,
3456,1105,18.7582,2291.03,4436.66,1010.41,42,,,,13.692,,,,,,,,,
1792,678.773,15.07,3199.67,4451.1,1006.79,43,,,,13.692,,,,,,,,,
153664,15432.4,66.4545,2505.97,4599.97,1037.37,44,,,,13.692,,,,,,,,,
3200,1108.16,18.2831,2217.92,4880.62,1014.29,45,,,,13.692,,,,,,,,,
5184,1408.01,21.4728,2362.41,5119.6,1011.13,46,,,,13.692,,,,,,,,,
264768,21258.4,79.6689,3696.79,1307.49,1047.22,47,,,,13.692,,,,,,,,,
2816,957.447,17.5204,4003.5,1359.92,1015.02,48,,,,13.692,,,,,,,,,
2176,805.185,16.0776,3942.6,1461.1,1012.46,49,,,,13.692,,,,,,,,,
1856,708.972,15.2473,2572.89,1483.24,1013.83,50,,,,13.692,,,,,,,,,
5824,1593.87,22.3224,3168.8,1983.41,1014.98,51,,,,13.692,,,,,,,,,
2240,801.246,16.2337,4009.01,2054.99,1012.19,52,,,,13.692,,,,,,,,,
3072,998.021,18.036,3407.96,3016.19,1012.68,53,,,,13.692,,,,,,,,,
1600,642.983,14.5113,3944.4,3259.26,1012.85,54,,,,13.692,,,,,,,,,
1344,587.729,13.692,2395.15,3412.82,1012.84,55,,,,13.692,,,,,,,,,
28224,4521.54,37.7752,2421.97,3812.01,1022.5,56,,,,13.692,,,,,,,,,
1920,738.422,15.4206,2664.69,4128.04,1013.6,57,,,,13.692,,,,,,,,,
253632,21319.3,78.536,2619.21,4198.35,1046.89,58,,,,13.692,,,,,,,,,
3712,1340.37,19.2104,2165.99,4618.14,1016.93,59,,,,13.692,,,,,,,,,
1984,766.175,15.5901,2208.89,4758.33,1013.51,60,,,,13.692,,,,,,,,,
1600,688.581,14.5113,2856.4,4893.5,1010.29,61,,,,13.692,,,,,,,,,
1408,604.001,13.906,3832.23,5184.38,1012.02,62,,,,13.692,,,,,,,,,
3520,1139.94,18.8733,3485.79,736.339,1020.02,63,,,,13.692,,,,,,,,,
3264,1102.35,18.4042,3952.37,739.024,1020.58,64,,,,13.692,,,,,,,,,
9344,2265.82,26.1323,2399.37,1011.08,1022.05,65,,,,13.692,,,,,,,,,
2880,984.246,17.6522,3776.38,1048.97,1018.13,66,,,,13.692,,,,,,,,,
48448,6676.72,45.2299,3955.75,2358.92,1034.96,67,,,,13.692,,,,,,,,,
2496,871.199,16.8299,3410.14,3820.23,1018.21,68,,,,13.692,,,,,,,,,
7168,1794.69,23.9221,2556.71,4084,1021.15,69,,,,13.692,,,,,,,,,
1856,725.753,15.2473,2870.13,4145.17,1018.1,70,,,,13.692,,,,,,,,,
4032,1216.89,19.7473,2219.78,4212.69,1016.9,71,,,,13.692,,,,,,,,,
25664,4285.63,36.5967,2396.64,4260.12,1026.2,72,,,,13.692,,,,,,,,,
12928,2691.53,29.1191,2518.24,4255.95,1024.59,73,,,,13.692,,,,,,,,,
1664,664.788,14.7023,3625.42,4790.33,1016.01,74,,,,13.692,,,,,,,,,
23232,3948.15,35.4021,3509.94,4822.43,1028.64,75,,,,13.692,,,,,,,,,
127040,12559.7,62.3707,2301.96,4989.39,1039.83,76,,,,13.692,,,,,,,,,
231232,18752.2,76.1523,3613.77,5006.77,1052.19,77,,,,13.692,,,,,,,,,
311104,23284,84.069,3865.1,1053.42,1061.66,78,,,,13.692,,,,,,,,,
9920,2233.53,26.6586,2547.34,2034.51,1027.27,79,,,,13.692,,,,,,,,,
1856,714.788,15.2473,3289.85,2626.69,1022.24,80,,,,13.692,,,,,,,,,
1600,634.697,14.5113,3446.16,3614.78,1021.17,81,,,,13.692,,,,,,,,,
13056,2685.99,29.2149,2283.37,3680.83,1028.5,82,,,,13.692,,,,,,,,,
142080,13715.6,64.7408,2936.71,3953.48,1046.24,83,,,,13.692,,,,,,,,,
2688,935.537,17.2508,2664.86,4359.67,1021.98,84,,,,13.692,,,,,,,,,
1664,661.624,14.7023,3686.96,4631.56,1020.93,85,,,,13.692,,,,,,,,,
4736,1343.87,20.8355,3334.58,4712.4,1022.5,86,,,,13.692,,,,,,,,,
1536,636.956,14.3152,2612.79,4753.1,1018.1,87,,,,13.692,,,,,,,,,
1600,634.486,14.5113,3674.32,4839.42,1020.85,88,,,,13.692,,,,,,,,,
1536,625.402,14.3152,3878.96,4995.94,1021.6,89,,,,13.692,,,,,,,,,
5888,1614.15,22.4039,2865.57,905.059,1026.84,90,,,,13.692,,,,,,,,,
4224,1246.58,20.0559,3190.35,921.83,1030.2,91,,,,13.692,,,,,,,,,
2304,865.015,16.3868,2482.18,1233.44,1026.15,92,,,,13.692,,,,,,,,,
1536,640.434,14.3152,3782.79,1242.27,1024.76,93,,,,13.692,,,,,,,,,
23296,4026.65,35.4346,2237.3,1470.55,1034.09,94,,,,13.692,,,,,,,,,
1472,607.558,14.1136,2730.78,1462.93,1025.54,95,,,,13.692,,,,,,,,,
3264,1066.12,18.4042,3515.82,1528.2,1027.95,96,,,,13.692,,,,,,,,,
6208,1654.47,22.8026,2940.48,1697.62,1030.64,97,,,,13.692,,,,,,,,,
5376,1504.16,21.7347,3811.58,1970.72,1029.65,98,,,,13.692,,,,,,,,,
1856,723.283,15.2473,3442.82,2401.59,1028.45,99,,,,13.692,,,,,,,,,
27008,4518.81,37.2247,2620.1,3287.74,1038.33,100,,,,13.692,,,,,,,,,
1344,568.576,13.692,3617.81,4161.96,1023.5,101,,,,13.692,,,,,,,,,
167424,15335.9,68.3817,2235.8,4269.03,1050.61,102,,,,13.692,,,,,,,,,
2624,911.131,17.1128,2386.27,4473.93,1023.52,103,,,,13.692,,,,,,,,,
857856,45606,117.889,3791.14,4733.01,1078.35,104,,,,13.692,,,,,,,,,
3840,1184.55,19.4287,3653.96,4860.1,1025.86,105,,,,13.692,,,,,,,,,
1.79E+06,77305.3,150.734,2735.52,1188.77,1089.3,106,,,,13.692,,,,,,,,,
1344,565.15,13.692,3556.29,2191.48,1028.65,107,,,,13.692,,,,,,,,,
11072,2474.13,27.653,2891.1,2748.84,1037.87,108,,,,13.692,,,,,,,,,
5632,1552.23,22.0744,2614.14,3332.88,1033.7,109,,,,13.692,,,,,,,,,
2560,912.492,16.9726,2320.86,3789.8,1028.13,110,,,,13.692,,,,,,,,,
49344,7530.19,45.507,2665.63,4274.16,1042.24,111,,,,13.692,,,,,,,,,
4160,1546.93,19.9541,3692.99,4292.58,1043.67,112,,,,13.692,,,,,,,,,
1728,678.354,14.8884,3821.03,4297.77,1029.45,113,,,,13.692,,,,,,,,,
1344,553.518,13.692,3735.34,4463.48,1026.74,114,,,,13.692,,,,,,,,,
11264,2434.55,27.8119,2991.8,4620.78,1035.77,115,,,,13.692,,,,,,,,,
133952,15972.1,63.482,3669.08,4716.65,1051.88,116,,,,13.692,,,,,,,,,
3200,1035.26,18.2831,3124.4,4749.1,1031.97,117,,,,13.692,,,,,,,,,
6464,1710.96,23.1118,2238.48,4920.49,1031.76,118,,,,13.692,,,,,,,,,
2368,834.332,16.5372,2780.9,4927.43,1029.42,119,,,,13.692,,,,,,,,,
6400,2103.07,23.0353,3970.64,1275.9,1039.97,120,,,,13.692,,,,,,,,,
170624,16202.6,68.8146,2581.23,1423.01,1063.19,121,,,,13.692,,,,,,,,,
7424,1849.99,24.2036,3474.82,1425.96,1036.79,122,,,,13.692,,,,,,,,,
1792,693.703,15.07,2280.67,1494.67,1031.5,123,,,,13.692,,,,,,,,,
1536,622.696,14.3152,4047.12,4051.94,1032.93,124,,,,13.692,,,,,,,,,
42880,6014.27,43.4262,3278.77,4109.37,1046.6,125,,,,13.692,,,,,,,,,
9344,2143.13,26.1323,3352.3,4324.2,1037.01,126,,,,13.692,,,,,,,,,
17536,3998.56,32.2337,2205.98,4863.45,1045.66,127,,,,13.692,,,,,,,,,
22464,4316.7,35.0076,3153.5,902.362,1048.67,128,,,,13.692,,,,,,,,,
1600,646.278,14.5113,3260.72,1198.14,1034.93,129,,,,13.692,,,,,,,,,
1344,590.435,13.692,2459.72,1322.91,1037.98,130,,,,13.692,,,,,,,,,
1664,661.625,14.7023,2564.8,1575.1,1038.47,131,,,,13.692,,,,,,,,,
1472,632.582,14.1136,3172.7,1581.54,1037.19,132,,,,13.692,,,,,,,,,
41088,6079.54,42.8127,2249.21,1889.96,1053.68,133,,,,13.692,,,,,,,,,
4224,1283.37,20.0559,2604.9,1984.07,1037.9,134,,,,13.692,,,,,,,,,
3008,978.639,17.9099,2852.66,1998.08,1040.46,135,,,,13.692,,,,,,,,,
20160,3642.12,33.7674,3730.78,2289.3,1047.63,136,,,,13.692,,,,,,,,,
1408,580.367,13.906,3948.96,2422.38,1034.93,137,,,,13.692,,,,,,,,,
6464,1672.96,23.1118,3722.68,4084.21,1041.47,138,,,,13.692,,,,,,,,,
1408,595.611,13.906,2191.5,4368.74,1034.02,139,,,,13.692,,,,,,,,,
2688,1012.39,17.2508,2597.62,4469.58,1037.88,140,,,,13.692,,,,,,,,,
1664,664.972,14.7023,4076.34,4694.18,1037.39,141,,,,13.692,,,,,,,,,
2240,823.72,16.2337,2869.58,4786.19,1036.76,142,,,,13.692,,,,,,,,,
12800,2686.71,29.0227,2824.38,1123.98,1046.99,143,,,,13.692,,,,,,,,,
1536,631.033,14.3152,2476.62,1246.44,1041.6,144,,,,13.692,,,,,,,,,
1984,745.195,15.5901,2582.44,1312.91,1042.29,145,,,,13.692,,,,,,,,,
1664,679.443,14.7023,2467.73,1367.56,1043.55,146,,,,13.692,,,,,,,,,
9216,2179.36,26.0125,3722.96,1514.08,1047.21,147,,,,13.692,,,,,,,,,
12096,2609.86,28.4805,3413.71,1793.49,1047.44,148,,,,13.692,,,,,,,,,
2880,980.487,17.6522,3418.69,2386.93,1042.75,149,,,,13.692,,,,,,,,,
1536,619.243,14.3152,3333.12,2867.1,1040.6,150,,,,13.692,,,,,,,,,
3136,1045.68,18.1604,2654.47,3642.53,1043.34,151,,,,13.692,,,,,,,,,
65344,8101.05,49.973,2515.33,3674.68,1060.31,152,,,,13.692,,,,,,,,,
13760,3035.63,29.7308,3665.6,3704.74,1049.29,153,,,,13.692,,,,,,,,,
1344,565.178,13.692,3497.05,3882.91,1041.22,154,,,,13.692,,,,,,,,,
1792,687.086,15.07,2208.1,4351.39,1039.5,155,,,,13.692,,,,,,,,,
1408,604.694,13.906,3237.5,4352.92,1040.39,156,,,,13.692,,,,,,,,,
9216,2160.95,26.0125,3147.26,846.075,1051.9,157,,,,13.692,,,,,,,,,
30400,6561.45,38.7221,3046.28,1339.68,1060.44,158,,,,13.692,,,,,,,,,
19968,4708.4,33.6598,3029.07,1480.46,1057.5,159,,,,13.692,,,,,,,,,
1408,629.286,13.906,2821.32,1561.1,1045.48,160,,,,13.692,,,,,,,,,
1408,580.498,13.906,2299.32,1692.01,1044.39,161,,,,13.692,,,,,,,,,
21120,3713.55,34.2951,3246.3,1936.28,1053.65,162,,,,13.692,,,,,,,,,
8832,2073.03,25.646,3437.62,3105.02,1050.87,163,,,,13.692,,,,,,,,,
1856,706.422,15.2473,3561.99,4183.24,1044.59,164,,,,13.692,,,,,,,,,
2560,885.565,16.9726,3724.46,4221,1046.13,165,,,,13.692,,,,,,,,,
2112,778.125,15.9184,2795.68,4257.89,1044.02,166,,,,13.692,,,,,,,,,
2048,753.05,15.7559,2874.21,4346.1,1042.81,167,,,,13.692,,,,,,,,,
2112,786.567,15.9184,3144.29,4474.74,1045.48,168,,,,13.692,,,,,,,,,
5568,1510.11,21.9904,2929.67,4524.11,1045.74,169,,,,13.692,,,,,,,,,
6848,1729.78,23.5607,3173.76,4757.57,1047.79,170,,,,13.692,,,,,,,,,
1984,759.48,15.5901,2592.25,4760.91,1043.58,171,,,,13.692,,,,,,,,,
117632,13088.8,60.7914,2501.1,4994.26,1071.68,172,,,,13.692,,,,,,,,,
1920,735.822,15.4206,2199.62,1508.7,1049.86,173,,,,13.692,,,,,,,,,
2624,927.683,17.1128,2425.49,1549.44,1049.08,174,,,,13.692,,,,,,,,,
90368,11592,55.6765,3866.37,1640.02,1079.52,175,,,,13.692,,,,,,,,,
59520,10772.4,48.4419,2872.73,3185.84,1069.56,176,,,,13.692,,,,,,,,,
1344,556.733,13.692,3492.67,3986.34,1046.36,177,,,,13.692,,,,,,,,,
2624,908.988,17.1128,2623.05,4307.98,1049.47,178,,,,13.692,,,,,,,,,
525760,32843.3,100.137,2535.58,4424.9,1096.13,179,,,,13.692,,,,,,,,,
1.05E+06,54442.6,126.088,3903.59,4510.92,1107.7,180,,,,13.692,,,,,,,,,
5184,1633.49,21.4728,2190.61,4638.21,1057.89,181,,,,13.692,,,,,,,,,
3456,1069.96,18.7582,3338.81,4713.7,1048.93,182,,,,13.692,,,,,,,,,
2752,1035.63,17.3867,2270.21,4890.64,1054.75,183,,,,13.692,,,,,,,,,
2176,828.306,16.0776,2427.19,5103.93,1045.99,184,,,,13.692,,,,,,,,,
3776,1160.87,19.3202,2926.41,1168.12,1055.68,185,,,,13.692,,,,,,,,,
3968,1247.14,19.6422,3385.8,1209.17,1054.93,186,,,,13.692,,,,,,,,,
1792,700.369,15.07,3055.1,1730.82,1053.07,187,,,,13.692,,,,,,,,,
4352,1288,20.2565,2637.37,1833.69,1054.11,188,,,,13.692,,,,,,,,,
2880,969.292,17.6522,3496.56,2220.44,1054.58,189,,,,13.692,,,,,,,,,
1984,745.195,15.5901,3211.21,3758.33,1053.25,190,,,,13.692,,,,,,,,,
11712,2506.77,28.1759,3258.21,3769.44,1059.76,191,,,,13.692,,,,,,,,,
7360,1899.39,24.1338,3634.85,3772.35,1059,192,,,,13.692,,,,,,,,,
114688,11978,60.28,2677.83,3991.51,1078.87,193,,,,13.692,,,,,,,,,
1664,673.979,14.7023,2197.42,4164.64,1052.16,194,,,,13.692,,,,,,,,,
5376,1644.38,21.7347,3645.34,4241.48,1058.07,195,,,,13.692,,,,,,,,,
2432,845.994,16.6848,2895.8,4487.94,1052.93,196,,,,13.692,,,,,,,,,
32832,5035.27,39.7283,2509.4,4491.41,1066.78,197,,,,13.692,,,,,,,,,
6592,1655.07,23.2634,2349.01,4675.14,1055.51,198,,,,13.692,,,,,,,,,
1536,610.028,14.3152,3761.79,766.936,1054.6,199,,,,13.692,,,,,,,,,
1792,736.647,15.07,2870.81,898.388,1056.93,200,,,,13.692,,,,,,,,,
1856,712.32,15.2473,2752.61,955.241,1058.24,201,,,,13.692,,,,,,,,,
5120,1542.07,21.3841,2353.01,1017.5,1061.38,202,,,,13.692,,,,,,,,,
2304,855.824,16.3868,2449.62,1578.99,1059.04,203,,,,13.692,,,,,,,,,
1856,712.292,15.2473,2456.06,1618.96,1057.14,204,,,,13.692,,,,,,,,,
9024,2110.84,25.8305,3550.19,2033.43,1063.1,205,,,,13.692,,,,,,,,,
1920,723.468,15.4206,3227.36,3467.5,1057.86,206,,,,13.692,,,,,,,,,
1344,559.438,13.692,3381.81,3828.06,1055.69,207,,,,13.692,,,,,,,,,
1664,649.035,14.7023,3012.65,4183.72,1055.09,208,,,,13.692,,,,,,,,,
25536,4205.24,36.5358,3340.29,4341.71,1066.81,209,,,,13.692,,,,,,,,,
1344,559.333,13.692,2887.72,4535.1,1053.98,210,,,,13.692,,,,,,,,,
4864,1393.69,21.0216,2614.59,4547.73,1060.3,211,,,,13.692,,,,,,,,,
476288,40411.3,96.8926,3385.19,4606.73,1087.1,212,,,,13.692,,,,,,,,,
12864,3049.44,29.0709,3684.89,4603.74,1061.76,213,,,,13.692,,,,,,,,,
1536,625.191,14.3152,2865.46,4866.77,1055.6,214,,,,13.692,,,,,,,,,
9088,2135.15,25.8915,2638.05,5082.31,1064.9,215,,,,13.692,,,,,,,,,
3008,995.016,17.9099,3744.57,5131.44,1060.29,216,,,,13.692,,,,,,,,,
2624,1041.69,17.1128,3195.64,934.615,1061.18,217,,,,13.692,,,,,,,,,
3584,1121.42,18.987,2728.03,1605.75,1061.86,218,,,,13.692,,,,,,,,,
19264,3662.75,33.2595,2842.58,3633.93,1069.34,219,,,,13.692,,,,,,,,,
2944,984.245,17.782,2913.48,4117.28,1061.11,220,,,,13.692,,,,,,,,,
37824,5776.98,41.6476,3188.35,4432.09,1074.82,221,,,,13.692,,,,,,,,,
163520,17005.3,67.846,2805.93,4832.63,1090.8,222,,,,13.692,,,,,,,,,
2432,831.471,16.6848,3673.69,4852.79,1061.56,223,,,,13.692,,,,,,,,,
1344,576.914,13.692,2447.53,5110.15,1060.46,224,,,,13.692,,,,,,,,,
4544,1345.47,20.5501,2767.8,727.948,1067.78,225,,,,13.692,,,,,,,,,
124416,14468.2,61.9383,3288.06,865.352,1097.67,226,,,,13.692,,,,,,,,,
1792,712.933,15.07,3078.53,1652.67,1063.93,227,,,,13.692,,,,,,,,,
3712,1272.32,19.2104,2463.09,1650.14,1067.55,228,,,,13.692,,,,,,,,,
2176,801.705,16.0776,3070.37,1698.75,1065.64,229,,,,13.692,,,,,,,,,
24448,4208.13,36.0093,3403.23,2349.39,1076.33,230,,,,13.692,,,,,,,,,
6400,1664.3,23.0353,2693.68,4181.66,1070.49,231,,,,13.692,,,,,,,,,
22848,3943.38,35.206,3154.04,4300.3,1077.45,232,,,,13.692,,,,,,,,,
1600,634.669,14.5113,2627.12,4443.26,1064.85,233,,,,13.692,,,,,,,,,
69376,8620.83,50.9804,3629.79,4456.42,1082.81,234,,,,13.692,,,,,,,,,
3456,1341.02,18.7582,3716.51,4580.73,1066.26,235,,,,13.692,,,,,,,,,
2432,870.243,16.6848,3931.17,4738.58,1065.35,236,,,,13.692,,,,,,,,,
218560,18308.1,74.735,2436.38,4795.76,1093.66,237,,,,13.692,,,,,,,,,
24960,4207.77,36.259,2867.95,4988.94,1075.33,238,,,,13.692,,,,,,,,,
1344,596.279,13.692,3372.29,701.769,1069.98,239,,,,13.692,,,,,,,,,
249920,26698.7,78.1509,3030.06,889.131,1122.3,240,,,,13.692,,,,,,,,,
75264,9716.94,52.3837,3828.54,1340.4,1094.74,241,,,,13.692,,,,,,,,,
5696,1563.59,22.1577,3056.57,1519.96,1072.32,242,,,,13.692,,,,,,,,,
38912,5702.18,42.0431,3637.61,1695.55,1084.05,243,,,,13.692,,,,,,,,,
1600,678.102,14.5113,2247.76,2094.14,1067.41,244,,,,13.692,,,,,,,,,
4224,1253.66,20.0559,3617.02,2544.38,1074.26,245,,,,13.692,,,,,,,,,
1792,678.695,15.07,2864.1,2830.96,1067.07,246,,,,13.692,,,,,,,,,
4544,1342.69,20.5501,3348.53,2883.78,1070.71,247,,,,13.692,,,,,,,,,
2304,841.407,16.3868,2808.62,3251.1,1070.71,248,,,,13.692,,,,,,,,,
1408,586.315,13.906,2924.96,4246.38,1067.11,249,,,,13.692,,,,,,,,,
12288,2599.79,28.6304,3004.33,4387.77,1074.83,250,,,,13.692,,,,,,,,,
6976,1765.3,23.7066,2558.85,4980.83,1073.39,251,,,,13.692,,,,,,,,,
160896,22810.9,67.4811,3038.42,1029.37,1102.59,252,,,,13.692,,,,,,,,,
1600,658.919,14.5113,2474.64,1021.18,1072.85,253,,,,13.692,,,,,,,,,
2240,882.911,16.2337,2235.07,1191.22,1075.96,254,,,,13.692,,,,,,,,,
1664,697.771,14.7023,2486.8,1401.87,1070.62,255,,,,13.692,,,,,,,,,
1472,589.177,14.1136,3142.78,1875.45,1071.63,256,,,,13.692,,,,,,,,,
3712,1155.13,19.2104,2850.54,1975.72,1072.72,257,,,,13.692,,,,,,,,,
4736,1472.6,20.8355,3763.17,2000.29,1077.96,258,,,,13.692,,,,,,,,,
2368,853.357,16.5372,3612.04,2148.62,1075.9,259,,,,13.692,,,,,,,,,
20736,3730.59,34.086,3562.81,2230.03,1082.76,260,,,,13.692,,,,,,,,,
1472,619.216,14.1136,3408.7,2447.28,1073.37,261,,,,13.692,,,,,,,,,
7040,1901.32,23.7789,3997.07,3366.41,1078.57,262,,,,13.692,,,,,,,,,
1728,684.329,14.8884,2724.59,3539.4,1072.86,263,,,,13.692,,,,,,,,,
1472,608.278,14.1136,2571.48,3911.62,1073.37,264,,,,13.692,,,,,,,,,
1536,619.296,14.3152,2257.62,4596.94,1071.43,265,,,,13.692,,,,,,,,,
3456,1154.07,18.7582,3597.25,691.992,1077.52,266,,,,13.692,,,,,,,,,
1600,634.669,14.5113,3770.96,991.263,1076.69,267,,,,13.692,,,,,,,,,
3072,995.499,18.036,3802.04,993.519,1077.51,268,,,,13.692,,,,,,,,,
35904,5406.12,40.9306,3218.46,1187.62,1087.42,269,,,,13.692,,,,,,,,,
1984,774.109,15.5901,3599.99,1322.2,1078.54,270,,,,13.692,,,,,,,,,
3008,972.074,17.9099,2860.06,2624.98,1076.8,271,,,,13.692,,,,,,,,,
4352,1251.86,20.2565,2563.66,2880.69,1078.75,272,,,,13.692,,,,,,,,,
4160,1270.11,19.9541,2291.45,3224.46,1081.27,273,,,,13.692,,,,,,,,,
2176,799.183,16.0776,2591.31,4059.34,1078.23,274,,,,13.692,,,,,,,,,
3968,1485.11,19.6422,3261.41,4195.04,1082.03,275,,,,13.692,,,,,,,,,
1728,663.583,14.8884,3770.66,4279.25,1078.34,276,,,,13.692,,,,,,,,,
1920,733.326,15.4206,3541.89,4590.04,1077.2,277,,,,13.692,,,,,,,,,
4032,1207.52,19.7473,2296.73,4653.45,1076.58,278,,,,13.692,,,,,,,,,
2304,837.47,16.3868,2834.29,4721.33,1075.49,279,,,,13.692,,,,,,,,,
3136,1014.07,18.1604,2571.94,4956.65,1077.79,280,,,,13.692,,,,,,,,,
3904,1211.51,19.5361,3842.89,975.693,1082.8,281,,,,13.692,,,,,,,,,
2560,957.986,16.9726,2515.66,1216.6,1082.43,282,,,,13.692,,,,,,,,,
1344,587.115,13.692,4013.43,1273.96,1079.88,283,,,,13.692,,,,,,,,,
2304,859.119,16.3868,2354.4,1425.1,1082.6,284,,,,13.692,,,,,,,,,
1536,631.06,14.3152,3781.12,1571.44,1080.76,285,,,,13.692,,,,,,,,,
1856,726.631,15.2473,2613.16,1666.69,1080.72,286,,,,13.692,,,,,,,,,
5120,1475.28,21.3841,2651.86,3780.9,1090.03,287,,,,13.692,,,,,,,,,
4288,1366.63,20.1567,3513.34,3829.91,1082.75,288,,,,13.692,,,,,,,,,
1344,643.624,13.692,3688.29,4505.39,1082.17,289,,,,13.692,,,,,,,,,
658240,39291.6,107.927,3206.67,4616.64,1129.51,290,,,,13.692,,,,,,,,,
1728,663.53,14.8884,2299.55,4834.66,1078.93,291,,,,13.692,,,,,,,,,
84352,9939.59,54.4125,3498.55,4914.01,1103.99,292,,,,13.692,,,,,,,,,
1344,580.34,13.692,2279.53,5079.1,1078.17,293,,,,13.692,,,,,,,,,
2816,980.951,17.5204,3784.23,1100.83,1087.75,294,,,,13.692,,,,,,,,,
17280,3257.45,32.0761,2889.37,1394.14,1091.69,295,,,,13.692,,,,,,,,,
1536,649.52,14.3152,2450.62,1452.6,1084.26,296,,,,13.692,,,,,,,,,
1984,750.501,15.5901,2306.31,1510.97,1083.96,297,,,,13.692,,,,,,,,,
1984,728.694,15.5901,2452.76,1514.97,1083.06,298,,,,13.692,,,,,,,,,
2048,763.092,15.7559,2977.71,1601.73,1082.81,299,,,,13.692,,,,,,,,,
4096,1209.89,19.8512,3749.52,2603.35,1086.37,300,,,,13.692,,,,,,,,,
206336,19595.4,73.3149,2285.13,3679.4,1110.24,301,,,,13.692,,,,,,,,,
1920,720.84,15.4206,2427.36,3739.64,1085.46,302,,,,13.692,,,,,,,,,
3200,1070.6,18.2831,2862.24,4637.26,1083.89,303,,,,13.692,,,,,,,,,
