duan.Label-Analysis(4),,,,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,,,,
1664,748.437,14.7023,3512.96,2301.72,3014.32,7355,,,,,,14.7023
5120,1409.37,21.3841,2602.56,2318.3,3016.93,7356,,,,,,21.3841
5888,1666.53,22.4039,2334.52,3604.02,3016.15,7357,,,,,,22.4039
1728,669.884,14.8884,3485.62,3849.33,3012.26,7358,,,,,,14.8884
1728,660.983,14.8884,3203.4,3859.1,3011.82,7359,,,,,,14.8884
3648,1115.58,19.0994,3621.41,3874.12,3015.28,7360,,,,,,19.0994
36224,6975.12,41.0518,2827.13,3930.9,3045.34,7361,,,,,,41.0518
1856,700.397,15.2473,3566.68,3923.79,3011.76,7362,,,,,,15.2473
14208,2879.73,30.05,3805.55,3965.25,3020.5,7363,,,,,,30.05
47040,6402.69,44.7874,3317.05,4058.83,3029.26,7364,,,,,,44.7874
1664,764.27,14.7023,3296.03,4158.64,3014.32,7365,,,,,,14.7023
54848,7113.85,47.1398,3984.36,4291.85,3030.58,7366,,,,,,47.1398
1344,553.569,13.692,4010.77,4355.29,3011.69,7367,,,,,,13.692
2240,909.996,16.2337,3892.21,1388.82,3016.76,7368,,,,,,16.2337
2688,920.962,17.2508,2546,1483.29,3016.74,7369,,,,,,17.2508
1728,673.258,14.8884,2365.92,1489.03,3017.75,7370,,,,,,14.8884
4736,1341.37,20.8355,2524.79,1515.26,3019.96,7371,,,,,,20.8355
3328,1061.41,18.5237,2187.96,1676.64,3016.62,7372,,,,,,18.5237
7296,1977.17,24.0637,3285.73,1844.58,3022.83,7373,,,,,,24.0637
1792,705.414,15.07,2717.53,1853.25,3016.93,7374,,,,,,15.07
5440,1514.77,21.8206,3877.31,1883.62,3021.85,7375,,,,,,21.8206
80384,10836.1,53.5456,2497.95,2049.77,3048.09,7376,,,,,,53.5456
3392,1068.85,18.6417,3903.79,2071.33,3016.52,7377,,,,,,18.6417
2816,927.816,17.5204,2401.32,2120.83,3019.39,7378,,,,,,17.5204
1792,676.042,15.07,3228.1,3041.1,3016.93,7379,,,,,,15.07
3200,1267.35,18.2831,3188.32,3098.14,3022.13,7380,,,,,,18.2831
65408,8476.27,49.9893,3374.6,3331.45,3042.97,7381,,,,,,49.9893
8512,2280.46,25.3325,2361.93,3555.13,3030.78,7382,,,,,,25.3325
2304,801.783,16.3868,3892.29,3581.1,3016.49,7383,,,,,,16.3868
2240,942.951,16.2337,3012.9,3690.19,3016.19,7384,,,,,,16.2337
4160,1230.38,19.9541,3263.57,3790.67,3020.1,7385,,,,,,19.9541
1856,834.713,15.2473,2666.13,3843.79,3015.76,7386,,,,,,15.2473
16320,3109.42,31.4708,3139.8,3871.13,3024.88,7387,,,,,,31.4708
4736,1352.14,20.8355,3171.66,3993.43,3018.34,7388,,,,,,20.8355
3904,1161.02,19.5361,3791.28,3989.2,3019.19,7389,,,,,,19.5361
3584,1106.29,18.987,3810.03,4081.03,3019.57,7390,,,,,,18.987
2496,903.892,16.8299,2988.8,4085.87,3017.91,7391,,,,,,16.8299
10944,2363.09,27.546,2935.66,4097.4,3023.12,7392,,,,,,27.546
1728,670.278,14.8884,2923.1,4178.95,3017.6,7393,,,,,,14.8884
4672,1331.03,20.7412,3515.5,4221.95,3022.22,7394,,,,,,20.7412
6720,1988.96,23.413,2956.29,4268.66,3022.86,7395,,,,,,23.413
1536,619.243,14.3152,2143.46,1470.94,3020.93,7396,,,,,,14.3152
13184,3257.89,29.31,2633.77,1493.34,3038.43,7397,,,,,,29.31
1536,603.595,14.3152,3259.12,1602.94,3018.76,7398,,,,,,14.3152
1664,652.278,14.7023,3339.57,1664.64,3021.39,7399,,,,,,14.7023
1472,613.374,14.1136,3614.43,1803.8,3022.06,7400,,,,,,14.1136
184896,16050,70.6821,2276.3,1822.3,3050.13,7401,,,,,,70.6821
1792,694.554,15.07,2286.67,1960.96,3021.93,7402,,,,,,15.07
1792,691.235,15.07,2458.81,2045.67,3022.07,7403,,,,,,15.07
7104,2157.14,23.8507,2829.62,2137.91,3031.83,7404,,,,,,23.8507
1536,619.271,14.3152,3739.62,2972.6,3020.93,7405,,,,,,14.3152
1408,567.908,13.906,2902.41,3374.92,3019.11,7406,,,,,,13.906
2432,1012.11,16.6848,3022.32,3665.73,3023.56,7407,,,,,,16.6848
3648,1154.49,19.0994,3256.64,3837.28,3023.28,7408,,,,,,19.0994
1792,760.543,15.07,3389.53,3934.53,3019.79,7409,,,,,,15.07
1536,610.878,14.3152,3562.62,3991.44,3020.93,7410,,,,,,14.3152
1344,628.487,13.692,3019.53,4216.06,3027.69,7411,,,,,,13.692
8064,1929.7,24.88,3785.43,1529.1,3030.01,7412,,,,,,24.88
282944,28807.8,81.4518,3194.3,1643.45,3055.75,7413,,,,,,81.4518
1792,696.945,15.07,2560.24,1652.67,3023.36,7414,,,,,,15.07
4480,1291.91,20.4531,2279.18,1668.02,3026.36,7415,,,,,,20.4531
1856,747.638,15.2473,3694.54,1676.34,3024.72,7416,,,,,,15.2473
1472,593.113,14.1136,2351.13,1695.1,3025.19,7417,,,,,,14.1136
9024,2083.51,25.8305,2630.93,1790.37,3029.6,7418,,,,,,25.8305
1472,585.751,14.1136,3018.61,1823.1,3022.93,7419,,,,,,14.1136
1408,598.158,13.906,3899.87,1831.65,3025.84,7420,,,,,,13.906
1536,628.538,14.3152,2381.96,1890.44,3024.43,7421,,,,,,14.3152
3968,1183.16,19.6422,2757.41,1983.23,3027,7422,,,,,,19.6422
1536,610.878,14.3152,2595.29,2067.44,3024.93,7423,,,,,,14.3152
2048,762.882,15.7559,2762.21,2469.73,3024.43,7424,,,,,,15.7559
28800,4561.14,38.0304,2675.64,3398.24,3037.28,7425,,,,,,38.0304
2368,844.166,16.5372,2830.42,3582.78,3026.5,7426,,,,,,16.5372
2176,766.28,16.0776,3881.31,3604.75,3024.93,7427,,,,,,16.0776
1536,624.498,14.3152,2671.79,3614.77,3027.43,7428,,,,,,14.3152
1728,802.374,14.8884,2445.47,3618.66,3026.04,7429,,,,,,14.8884
1920,742.489,15.4206,2452.69,3642.04,3025.06,7430,,,,,,15.4206
1792,681.911,15.07,3171.24,3862.25,3023.93,7431,,,,,,15.07
1664,655.599,14.7023,2712.65,3871.41,3025.24,7432,,,,,,14.7023
2368,829.003,16.5372,2994.42,3915.86,3025.09,7433,,,,,,16.5372
1344,556.76,13.692,3311.34,4301.58,3022.55,7434,,,,,,13.692
1792,681.963,15.07,3234.81,1554.25,3027.22,7435,,,,,,15.07
1664,649.14,14.7023,2198.34,1623.56,3026.32,7436,,,,,,14.7023
1344,562.68,13.692,3111.53,1684.25,3027.5,7437,,,,,,13.692
3776,1576.56,19.3202,2562.35,1708.53,3035,7438,,,,,,19.3202
9536,2318.11,26.3101,2552.7,1744.9,3035.79,7439,,,,,,26.3101
60160,8110.78,48.6149,2192.37,1795.88,3047.65,7440,,,,,,48.6149
1472,733.01,14.1136,2725.74,1817.54,3028.84,7441,,,,,,14.1136
19904,3578.49,33.6238,2802.34,1860.71,3039.68,7442,,,,,,33.6238
2624,1026.5,17.1128,3904.71,1887.1,3028.59,7443,,,,,,17.1128
1984,751.196,15.5901,2297.15,1894.33,3030.54,7444,,,,,,15.5901
28288,4606.15,37.8037,3260.8,1901.77,3039.7,7445,,,,,,37.8037
3520,1316.29,18.8733,2268.63,1960.19,3034.71,7446,,,,,,18.8733
3008,966.692,17.9099,3033.17,1960.98,3031.19,7447,,,,,,17.9099
6784,1796.62,23.4871,3052.39,1997.86,3034.93,7448,,,,,,23.4871
13120,3092.73,29.2625,2409.32,2074.85,3035.91,7449,,,,,,29.2625
2752,934.273,17.3867,2565.93,2067.66,3028.05,7450,,,,,,17.3867
2816,1150.46,17.5204,2960.59,2076.83,3030.48,7451,,,,,,17.5204
1600,621.438,14.5113,3531.28,2771.42,3026.93,7452,,,,,,14.5113
4992,1446.75,21.2044,3059.01,2775.87,3033.44,7453,,,,,,21.2044
1472,589.768,14.1136,2936.17,2827.28,3026.93,7454,,,,,,14.1136
7552,1847.04,24.3419,2623.33,3169.41,3033.3,7455,,,,,,24.3419
2176,780.803,16.0776,2745.54,3414.4,3029.4,7456,,,,,,16.0776
1536,761.724,14.3152,2733.62,3604.1,3032.93,7457,,,,,,14.3152
1472,604.237,14.1136,2562.96,3705.89,3027.11,7458,,,,,,14.1136
3904,1190.71,19.5361,2786.1,3861.33,3030.01,7459,,,,,,19.5361
1920,714.92,15.4206,2691.09,3878.17,3028.13,7460,,,,,,15.4206
1536,610.053,14.3152,3526.79,3967.44,3029.76,7461,,,,,,14.3152
7616,1854.7,24.4105,3065.44,3978.7,3034.83,7462,,,,,,24.4105
1408,571.439,13.906,2819.87,4006.74,3026.57,7463,,,,,,13.906
1792,834.45,15.07,3029.1,4141.96,3031.07,7464,,,,,,15.07
1536,625.243,14.3152,3882.96,4182.77,3027.43,7465,,,,,,14.3152
3328,1053.77,18.5237,3022.34,4185.18,3030.93,7466,,,,,,18.5237
1344,565.361,13.692,2706.38,4368.63,3029.22,7467,,,,,,13.692
1728,667.521,14.8884,3611.4,4385.62,3028.26,7468,,,,,,14.8884
1408,580.471,13.906,3399.32,1362.92,3034.02,7469,,,,,,13.906
1408,574.603,13.906,3385.87,1587.28,3031.48,7470,,,,,,13.906
2240,900.218,16.2337,3474.38,1617.05,3039.16,7471,,,,,,16.2337
1728,663.452,14.8884,2590.66,1759.1,3030.64,7472,,,,,,14.8884
244544,19738.5,77.5865,2976.79,1783.92,3070.68,7473,,,,,,77.5865
1472,607.505,14.1136,3021.57,1789.02,3034.58,7474,,,,,,14.1136
1920,724.059,15.4206,2254.02,1864.3,3032.53,7475,,,,,,15.4206
1536,616.079,14.3152,2255.46,1887.6,3031.76,7476,,,,,,14.3152
8576,2352.22,25.3958,3093.97,1927.07,3044.72,7477,,,,,,25.3958
6080,1617.06,22.6448,2413.06,1946.01,3037.5,7478,,,,,,22.6448
1792,799.156,15.07,2454.67,1968.82,3033.5,7479,,,,,,15.07
3584,1122.74,18.987,2850.17,1970.75,3033.79,7480,,,,,,18.987
1472,585.751,14.1136,2855.3,2026.75,3030.58,7481,,,,,,14.1136
7680,1888.4,24.4787,2593.36,2360.9,3038.4,7482,,,,,,24.4787
1728,673.363,14.8884,2810.96,2505.33,3033.6,7483,,,,,,14.8884
8256,1936.37,25.0759,2564.82,2754.14,3037.44,7484,,,,,,25.0759
1408,583.741,13.906,3076.96,3807.1,3034.2,7485,,,,,,13.906
8000,1893.94,24.814,3868.27,3821.66,3037.14,7486,,,,,,24.814
1920,718.239,15.4206,2818.96,3848.44,3033.6,7487,,,,,,15.4206
1600,706.988,14.5113,3676.72,3946.14,3029.81,7488,,,,,,14.5113
53632,6960.09,46.7888,3297.86,4007.69,3052.84,7489,,,,,,46.7888
2240,919.908,16.2337,3132.9,4109.62,3037.9,7490,,,,,,16.2337
326464,24874.3,85.4304,3395.04,4205.75,3071.62,7491,,,,,,85.4304
8064,2297,24.88,3311.08,4216.15,3040.96,7492,,,,,,24.88
3200,1134.63,18.2831,4038,4393.1,3032.93,7493,,,,,,18.2831
3008,1151.75,17.9099,3888.66,1371.1,3040.72,7494,,,,,,17.9099
2112,837.85,15.9184,2943.68,1453.77,3037.11,7495,,,,,,15.9184
12096,2539.86,28.4805,2483.97,1464.9,3046.8,7496,,,,,,28.4805
20736,4018.7,34.086,3319.15,1464.28,3050.46,7497,,,,,,34.086
2048,762.317,15.7559,2542.33,1595.98,3036.31,7498,,,,,,15.7559
1728,682.526,14.8884,2789.92,1715.99,3037.15,7499,,,,,,14.8884
3264,1068.56,18.4042,2479.58,1778.87,3039.79,7500,,,,,,18.4042
3072,986.153,18.036,2550.54,1785.1,3036.6,7501,,,,,,18.036
81472,11417.8,53.7861,3861.76,1914.31,3058.94,7502,,,,,,53.7861
1408,589.098,13.906,3009.14,1965.47,3034.39,7503,,,,,,13.906
2304,853.225,16.3868,2513.85,1974.21,3041.38,7504,,,,,,16.3868
1792,793.21,15.07,3257.96,1989.25,3045.22,7505,,,,,,15.07
79872,9561.92,53.4317,2412.54,2363.21,3059.24,7506,,,,,,53.4317
1664,667.493,14.7023,3266.19,2354.64,3037.55,7507,,,,,,14.7023
24384,5322.39,35.9779,3326.55,2653.74,3061.03,7508,,,,,,35.9779
313664,25101.5,84.2989,2726.84,2831.15,3080.81,7509,,,,,,84.2989
1344,554.237,13.692,3593.24,3035.29,3034.93,7510,,,,,,13.692
3200,1029.12,18.2831,3015.36,3305.34,3039.73,7511,,,,,,18.2831
2624,910.076,17.1128,2674.66,3584.27,3039.32,7512,,,,,,17.1128
1600,743.158,14.5113,3826,3998.46,3036.85,7513,,,,,,14.5113
3072,1184.63,18.036,4020.96,4028.19,3041.01,7514,,,,,,18.036
2048,756.448,15.7559,3582.33,4158.48,3036.81,7515,,,,,,15.7559
5824,1575.3,22.3224,3997.24,4238.53,3040.25,7516,,,,,,22.3224
3776,1154.12,19.3202,2256.24,1531.44,3044.63,7517,,,,,,19.3202
1664,645.609,14.7023,2931.73,1675.26,3038.78,7518,,,,,,14.7023
2240,803.689,16.2337,3846.84,1753.27,3042.82,7519,,,,,,16.2337
5504,1929.8,21.9058,2613.89,1998.54,3040.7,7520,,,,,,21.9058
8384,1972.7,25.2049,2719.54,1992.63,3045.34,7521,,,,,,25.2049
2048,784.046,15.7559,2460.08,2115.48,3042.56,7522,,,,,,15.7559
7360,2043.8,24.1338,3883.51,2203.14,3044.5,7523,,,,,,24.1338
1792,678.695,15.07,2942.53,2393.53,3038.79,7524,,,,,,15.07
3520,1107.7,18.8733,3238.74,2893.58,3044.02,7525,,,,,,18.8733
19648,5103.92,33.4791,2461.9,3697.54,3061.19,7526,,,,,,33.4791
3584,1242.63,18.987,3132.31,3782.67,3042.43,7527,,,,,,18.987
3072,1141.22,18.036,3567.71,3920.44,3043.1,7528,,,,,,18.036
2176,768.802,16.0776,3612.6,4060.87,3040.7,7529,,,,,,16.0776
1984,822.765,15.5901,3347.6,4103.1,3039.83,7530,,,,,,15.5901
3648,1131.34,19.0994,3723.31,4232.44,3042.3,7531,,,,,,19.0994
1984,774.855,15.5901,3026.7,4310.97,3041.38,7532,,,,,,15.5901
1344,565.202,13.692,2965.62,4335.1,3039.5,7533,,,,,,13.692
1984,922.088,15.5901,2282.05,1413.3,3051.71,7534,,,,,,15.5901
3712,1123.3,19.2104,3557.16,1477.72,3047.9,7535,,,,,,19.2104
2368,841.435,16.5372,2344.36,1489.48,3045.42,7536,,,,,,16.5372
2752,936.259,17.3867,3043.05,1520.22,3045.44,7537,,,,,,17.3867
9344,2952.46,26.1323,2288.55,1659.43,3055.75,7538,,,,,,26.1323
3008,981.134,17.9099,2249.42,1689.06,3048.63,7539,,,,,,17.9099
3328,1065.29,18.5237,2430.65,1705.8,3048.24,7540,,,,,,18.5237
2112,771.534,15.9184,2678.84,1726.13,3047.66,7541,,,,,,15.9184
2880,953.328,17.6522,3501.09,1798.75,3044.53,7542,,,,,,17.6522
1344,550.065,13.692,3014.58,1815.1,3042.93,7543,,,,,,13.692
1920,808.557,15.4206,3256.29,1835.37,3042.93,7544,,,,,,15.4206
3328,1217.56,18.5237,2562.73,1954.33,3048.7,7545,,,,,,18.5237
9472,2161.96,26.2511,3399.12,2208.89,3053.17,7546,,,,,,26.2511
1408,589.583,13.906,2234.23,3592.74,3045.3,7547,,,,,,13.906
1984,739.379,15.5901,3435.86,3641.17,3045.12,7548,,,,,,15.5901
2752,925.188,17.3867,2348.63,3705.61,3045.72,7549,,,,,,17.3867
1536,687.833,14.3152,2376.79,3717.6,3045.1,7550,,,,,,14.3152
1344,553.491,13.692,3631.72,3825.96,3042.17,7551,,,,,,13.692
1536,613.454,14.3152,3153.79,3978.44,3042.93,7552,,,,,,14.3152
1408,586.498,13.906,3472.59,4388.74,3042.39,7553,,,,,,13.906
3456,1081.28,18.7582,2541.4,1474.88,3051.97,7554,,,,,,18.7582
10496,2280.52,27.1649,2264.93,1712.88,3055.91,7555,,,,,,27.1649
1856,700.45,15.2473,3128.75,1732.62,3047.35,7556,,,,,,15.2473
3520,1084.99,18.8733,3309.36,1739.39,3050.64,7557,,,,,,18.8733
2880,939.044,17.6522,3232.38,1817.5,3048.26,7558,,,,,,17.6522
1984,748.541,15.5901,2230.83,2012.78,3051.06,7559,,,,,,15.5901
3136,1039.4,18.1604,3662.22,2119.02,3051.34,7560,,,,,,18.1604
5952,1557.65,22.4848,2790.61,2319.49,3054.97,7561,,,,,,22.4848
21248,3768.19,34.3642,3215.33,2979.08,3058.58,7562,,,,,,34.3642
6144,1586.58,22.724,3190.21,3294.48,3052.76,7563,,,,,,22.724
2112,780.004,15.9184,2323.32,3605.65,3050.08,7564,,,,,,15.9184
3008,999.462,17.9099,2483.64,3613.49,3050,7565,,,,,,17.9099
2112,768.96,15.9184,3688.29,3622.25,3047.54,7566,,,,,,15.9184
3392,1053.54,18.6417,3229.45,4172.61,3048.82,7567,,,,,,18.6417
2560,887.006,16.9726,3946.26,4167.5,3049.83,7568,,,,,,16.9726
3840,1182.13,19.4287,2990.22,4291.84,3051.66,7569,,,,,,19.4287
2432,849.418,16.6848,3033.27,4343,3050.3,7570,,,,,,16.6848
1536,616.054,14.3152,2911.12,1450.44,3050.6,7571,,,,,,14.3152
22464,3830.05,35.0076,3104.55,1501.55,3063.14,7572,,,,,,35.0076
36288,5360.25,41.076,3063.38,1564.74,3066.92,7573,,,,,,41.076
1472,589.766,14.1136,3790.78,1667.1,3053.71,7574,,,,,,14.1136
1792,681.991,15.07,2102.38,1735.1,3051.65,7575,,,,,,15.07
7488,1832.23,24.2729,3635.4,1765.77,3058.62,7576,,,,,,24.2729
1536,619.191,14.3152,3840.79,1780.77,3051.6,7577,,,,,,14.3152
3840,1162.9,19.4287,2541.89,1916.37,3054.8,7578,,,,,,19.4287
5952,1582,22.4848,3870.01,2023.36,3057.34,7579,,,,,,22.4848
1344,581.324,13.692,2391.72,2051.1,3050.55,7580,,,,,,13.692
2688,918.388,17.2508,2195.05,2138.34,3053.12,7581,,,,,,17.2508
1536,615.975,14.3152,2273.12,2142.27,3052.1,7582,,,,,,14.3152
6784,1729.01,23.4871,3711.11,2327.44,3058.63,7583,,,,,,23.4871
1792,697.05,15.07,3183.38,2383.1,3053.93,7584,,,,,,15.07
1472,631.807,14.1136,2173.91,2525.71,3049.54,7585,,,,,,14.1136
2560,884.739,16.9726,2236.06,2616.2,3052.83,7586,,,,,,16.9726
6464,1675.64,23.1118,3048.9,3366.71,3057.35,7587,,,,,,23.1118
197184,16786.6,72.2145,2761.46,3511.17,3089.48,7588,,,,,,72.2145
2240,939.658,16.2337,3159.87,3768.36,3052.3,7589,,,,,,16.2337
2240,811.877,16.2337,3646.38,3815.67,3054.7,7590,,,,,,16.2337
1856,696.433,15.2473,3033.16,4159.1,3051.35,7591,,,,,,15.2473
13888,2849.3,29.8227,2249.89,4165.57,3064.76,7592,,,,,,29.8227
2240,804.463,16.2337,3113.13,4191.79,3054.02,7593,,,,,,16.2337
5440,1480.92,21.8206,3946.53,4194.35,3058.6,7594,,,,,,21.8206
1600,631.244,14.5113,3260.24,4266.14,3053.01,7595,,,,,,14.5113
3584,1109.53,18.987,3199.6,4293.67,3055,7596,,,,,,18.987
1472,604.001,14.1136,4034.09,4300.49,3052.15,7597,,,,,,14.1136
1408,579.752,13.906,3082.23,4311.47,3051.11,7598,,,,,,13.906
4416,1268.33,20.3553,3979.13,4335.1,3055.16,7599,,,,,,20.3553
3136,1022.64,18.1604,2725,4396.33,3054.03,7600,,,,,,18.1604
2112,801.732,15.9184,3183.44,1377.65,3057.6,7601,,,,,,15.9184
15168,3131.55,30.7121,3486.35,1652.94,3065.58,7602,,,,,,30.7121
8576,2020.79,25.3958,3518.18,1649.28,3063.68,7603,,,,,,25.3958
1408,606.628,13.906,2144.05,1694.01,3058.2,7604,,,,,,13.906
4032,1183.16,19.7473,3924.99,2091.23,3058.74,7605,,,,,,19.7473
1536,630.314,14.3152,2672.12,2160.27,3056.6,7606,,,,,,14.3152
20672,3608.46,34.0509,2356.85,2425.11,3066.42,7607,,,,,,34.0509
13312,2699.78,29.4046,3562.17,2911.2,3065.59,7608,,,,,,29.4046
10368,2342.98,27.054,3595.3,3115.05,3065.23,7609,,,,,,27.054
13952,3948.63,29.8685,2675.03,3514.97,3068.05,7610,,,,,,29.8685
1536,621.924,14.3152,3815.96,4060.44,3055.26,7611,,,,,,14.3152
3008,1110.17,17.9099,3093.51,4117.57,3056.38,7612,,,,,,17.9099
2752,981.004,17.3867,2227.33,4134.82,3057.82,7613,,,,,,17.3867
1728,666.825,14.8884,3626.81,4166.81,3058.34,7614,,,,,,14.8884
2624,907.397,17.1128,3002.96,1449.64,3062.15,7615,,,,,,17.1128
3584,1361.14,18.987,2834.24,1459.03,3062.79,7616,,,,,,18.987
2112,781.448,15.9184,2692.05,1590.01,3061.6,7617,,,,,,15.9184
5120,1396.96,21.3841,3742.61,1682.9,3063.33,7618,,,,,,21.3841
8832,2427.86,25.646,2562.81,1693.51,3067.25,7619,,,,,,25.646
1920,738.58,15.4206,2210.02,1730.84,3059.2,7620,,,,,,15.4206
1600,621.438,14.5113,3299.28,1859.1,3058.61,7621,,,,,,14.5113
1536,610.878,14.3152,3338.79,1935.27,3060.43,7622,,,,,,14.3152
17344,3329.68,32.1157,2342.76,2007.37,3066.68,7623,,,,,,32.1157
2112,857.188,15.9184,2164.9,2332.68,3066.2,7624,,,,,,15.9184
8704,2049.86,25.5215,3372.37,2371.51,3066.58,7625,,,,,,25.5215
6016,1568.74,22.5651,2791.89,2621.44,3063.02,7626,,,,,,22.5651
2368,836.645,16.5372,2390.2,3032.62,3062.39,7627,,,,,,16.5372
6912,1744.38,23.6339,2531.81,3088.88,3065.82,7628,,,,,,23.6339
4736,1413.74,20.8355,2333.71,3230.02,3062.99,7629,,,,,,20.8355
1920,768.909,15.4206,3236.42,3630.44,3060.8,7630,,,,,,15.4206
3520,1091.82,18.8733,3886.3,3669.43,3061.7,7631,,,,,,18.8733
1600,652.225,14.5113,3642.64,3783.26,3058.93,7632,,,,,,14.5113
1984,742.594,15.5901,3487.99,3899.62,3060.22,7633,,,,,,15.5901
4672,1339.63,20.7412,3181.81,4015.54,3063.1,7634,,,,,,20.7412
8448,2079.31,25.2688,3067.29,4092.16,3066.66,7635,,,,,,25.2688
2176,825.601,16.0776,4007.54,4260.87,3061.64,7636,,,,,,16.0776
5440,1500.92,21.8206,3688.89,4292,3066.7,7637,,,,,,21.8206
5824,1587.04,22.3224,4031,4345.87,3064.95,7638,,,,,,22.3224
1344,562.655,13.692,2695.91,4351.67,3061.03,7639,,,,,,13.692
2112,774.135,15.9184,2546.96,4378.74,3060.26,7640,,,,,,15.9184
3392,1232.57,18.6417,2956.77,1484.61,3069.72,7641,,,,,,18.6417
672064,38515.3,108.677,3732.51,1565.5,3118.97,7642,,,,,,108.677
333760,28315.6,86.0621,2629.55,1626.67,3104.54,7643,,,,,,86.0621
19968,4717.95,33.6598,2559.57,1640.72,3085.35,7644,,,,,,33.6598
3136,1004.82,18.1604,2892.43,1930.53,3065.14,7645,,,,,,18.1604
3264,1268.3,18.4042,2179.98,2065.22,3071.56,7646,,,,,,18.4042
2112,799.985,15.9184,2160.05,2312.44,3066.93,7647,,,,,,15.9184
5312,1461.86,21.6481,3003.87,2697.46,3067.65,7648,,,,,,21.6481
3968,1188.65,19.6422,3124.38,2824.78,3068.16,7649,,,,,,19.6422
1408,616.748,13.906,3624.77,2850.56,3064.75,7650,,,,,,13.906
19072,3503.72,33.1487,2441.87,2891.3,3075.94,7651,,,,,,33.1487
1728,667.521,14.8884,3411.85,2997.77,3065.15,7652,,,,,,14.8884
1344,554.265,13.692,3282.96,3237.39,3063.12,7653,,,,,,13.692
38720,5619.13,41.9739,2556.54,3569.62,3080.5,7654,,,,,,41.9739
23360,4055.08,35.467,3517.77,3617.98,3077.34,7655,,,,,,35.467
48512,6505.42,45.2498,3680.37,3621.86,3083.61,7656,,,,,,45.2498
2112,787.445,15.9184,2462.96,3633.28,3067.54,7657,,,,,,15.9184
4544,1350.59,20.5501,2930.67,3704.4,3068.85,7658,,,,,,20.5501
3520,1237.1,18.8733,2710.23,3871.18,3064.82,7659,,,,,,18.8733
3456,1092.36,18.7582,3134.81,4015.33,3065.89,7660,,,,,,18.7582
4864,1796.25,21.0216,2231.22,4033.05,3072.41,7661,,,,,,21.0216
2304,934.168,16.3868,3038.51,4303.33,3064.93,7662,,,,,,16.3868
1472,620.844,14.1136,2688.52,4400.67,3063.28,7663,,,,,,14.1136
1920,724.857,15.4206,2936.42,1424.57,3070,7664,,,,,,15.4206
1472,595.688,14.1136,2646.09,1468.84,3066.41,7665,,,,,,14.1136
1600,637.114,14.5113,2882,1490.62,3068.05,7666,,,,,,14.5113
1664,736.568,14.7023,3435.42,1541.41,3071.85,7667,,,,,,14.7023
1408,637.729,13.906,2365.14,1665.47,3068.75,7668,,,,,,13.906
2432,912.546,16.6848,2320.75,1706.89,3069.14,7669,,,,,,16.6848
170752,22635.2,68.8318,2324.29,1888.31,3098.78,7670,,,,,,68.8318
13312,2719.59,29.4046,2918.63,1962.58,3075.53,7671,,,,,,29.4046
1984,745.117,15.5901,2220.76,1983.75,3068.48,7672,,,,,,15.5901
2688,905.957,17.2508,3645.72,2532.63,3069.41,7673,,,,,,17.2508
1984,932.805,15.5901,3274.18,3397.55,3068.09,7674,,,,,,15.5901
1664,663.936,14.7023,3121.42,3717.41,3068.32,7675,,,,,,14.7023
1536,616.776,14.3152,3072.96,3747.1,3067.93,7676,,,,,,14.3152
1536,643.755,14.3152,2931.79,3925.27,3066.76,7677,,,,,,14.3152
1856,700.502,15.2473,2758.54,3958,3069.14,7678,,,,,,15.2473
4608,1612.86,20.6461,3139.85,3985.27,3078.04,7679,,,,,,20.6461
13120,2726,29.2625,3958.1,4109.17,3078.03,7680,,,,,,29.2625
8128,1957.59,24.9457,3218.01,4159.07,3075.31,7681,,,,,,24.9457
1344,568.471,13.692,3462,4208.63,3067.69,7682,,,,,,13.692
2112,821.245,15.9184,2528.77,4354.13,3068.99,7683,,,,,,15.9184
6144,2007.81,22.724,2971.83,1433.81,3074.1,7684,,,,,,22.724
2560,1062.88,16.9726,3404.56,1440.9,3078.53,7685,,,,,,16.9726
1408,598.905,13.906,2623.32,1471.47,3073.11,7686,,,,,,13.906
10496,2547.99,27.1649,3542.05,1489.4,3082.71,7687,,,,,,27.1649
7360,1800.74,24.1338,2261.46,1502.41,3077.54,7688,,,,,,24.1338
18496,5130.07,32.8115,2673.07,1515.73,3116.99,7689,,,,,,32.8115
5504,1525.84,21.9058,2677.37,1699.43,3076,7690,,,,,,21.9058
2496,872.948,16.8299,2995.16,1725.15,3072.67,7691,,,,,,16.8299
18816,3778.44,32.9997,3812.59,1803.99,3081.95,7692,,,,,,32.9997
11712,2580.74,28.1759,2280.66,1995.47,3082.08,7693,,,,,,28.1759
1728,664.277,14.8884,2426.81,2080.88,3070.93,7694,,,,,,14.8884
7936,1904.99,24.7477,3634.92,2113.55,3078.09,7695,,,,,,24.7477
1472,706.136,14.1136,3923.65,2184.49,3070.06,7696,,,,,,14.1136
1472,601.557,14.1136,2801.39,2202.23,3071.97,7697,,,,,,14.1136
2624,1020.5,17.1128,2380.52,2293.54,3077.37,7698,,,,,,17.1128
1344,568.55,13.692,2187.53,2557.77,3071.31,7699,,,,,,13.692
7488,1831.92,24.2729,3383.09,2707.79,3077.7,7700,,,,,,24.2729
1920,727.534,15.4206,2871.49,3492.17,3073.06,7701,,,,,,15.4206
