duan.Label-Analysis(4),,,,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,,,,
79168,9087.18,53.2742,4034.76,4212.86,1039.65,79,,,,,,53.2742
1984,780.698,15.5901,2298.57,4410.07,1019.71,80,,,,,,15.5901
36096,5459.12,41.0034,3370.37,4625.19,1035.66,81,,,,,,41.0034
1600,655.519,14.5113,2956.08,920.863,1021.65,82,,,,,,14.5113
477888,30914.7,97.0009,3547.26,1020.45,1069.13,83,,,,,,97.0009
4480,1309.83,20.4531,2454.67,1359.56,1025.96,84,,,,,,20.4531
1536,613.348,14.3152,2497.29,1445.94,1023.76,85,,,,,,14.3152
1472,608.12,14.1136,3857.04,2906.23,1023.11,86,,,,,,14.1136
40384,5958.84,42.5667,3259.37,3647.92,1040.53,87,,,,,,42.5667
12160,2621.65,28.5307,2396.41,3893.99,1031.18,88,,,,,,28.5307
1856,708.198,15.2473,3284.34,4134.41,1026.66,89,,,,,,15.2473
5504,1514.13,21.9058,2286.26,4392.92,1030.05,90,,,,,,21.9058
4032,1333.36,19.7473,2761.88,4542.15,1025.79,91,,,,,,19.7473
2176,825.523,16.0776,3109.78,4707.1,1023.28,92,,,,,,16.0776
17920,3401.32,32.4673,2845.8,4720.7,1030.55,93,,,,,,32.4673
3328,1073.07,18.5237,3734.96,1719.95,1028.01,94,,,,,,18.5237
1408,574.524,13.906,3039.68,1756.19,1029.84,95,,,,,,13.906
2944,983.839,17.782,3612.17,1826.58,1029.71,96,,,,,,17.782
52288,7880.54,46.3946,3287.64,2413.43,1049.55,97,,,,,,46.3946
3456,1088.55,18.7582,3106.36,2876.44,1029.38,98,,,,,,18.7582
26048,4444.19,36.7783,3655.92,3338.97,1041.12,99,,,,,,36.7783
98688,11291.6,57.3353,4037.94,4032,1051.22,100,,,,,,57.3353
6912,1852.21,23.6339,3221.96,4743.99,1037.78,101,,,,,,23.6339
8704,2170.24,25.5215,3590.22,960.72,1038.96,102,,,,,,25.5215
1600,637.112,14.5113,2546.16,1341.98,1031.73,103,,,,,,14.5113
3840,1184.63,19.4287,2394.09,1353.84,1035.4,104,,,,,,19.4287
1408,589.662,13.906,3657.5,1518.74,1032.57,105,,,,,,13.906
1344,656.267,13.692,2643.91,1532.06,1031.5,106,,,,,,13.692
8000,2062.36,24.814,2715.69,1662.56,1034.93,107,,,,,,24.814
1664,685.98,14.7023,2460.96,1769.72,1032.62,108,,,,,,14.7023
1664,654.904,14.7023,3074.49,2199.41,1031.39,109,,,,,,14.7023
1792,696.945,15.07,2684.53,2352.82,1034.79,110,,,,,,15.07
6080,1605.63,22.6448,3370.7,3050.22,1037.75,111,,,,,,22.6448
4224,1264.21,20.0559,2941.99,3458.86,1033.11,112,,,,,,20.0559
1536,628.592,14.3152,3499.79,3615.6,1031.93,113,,,,,,14.3152
138496,13452.2,64.1918,2443.16,3817.94,1056.53,114,,,,,,64.1918
10496,2709.91,27.1649,2505.66,4584.81,1039.42,115,,,,,,27.1649
1856,729.152,15.2473,3894.27,1363.65,1035.76,116,,,,,,15.2473
3648,1161.53,19.0994,3755.38,1390.33,1038.79,117,,,,,,19.0994
54656,7088.55,47.0847,3429.51,1447.8,1054.94,118,,,,,,47.0847
5056,1407.9,21.2946,2198.45,1607,1038.73,119,,,,,,21.2946
46144,6374.54,44.5013,3033.2,2066.88,1053.97,120,,,,,,44.5013
7680,1889.13,24.4787,3066.69,2977.94,1043.53,121,,,,,,24.4787
411840,28416.3,92.3089,2428.04,3521.58,1081.43,122,,,,,,92.3089
10752,3032.99,27.384,4038.12,4438.94,1045.65,123,,,,,,27.384
