chushi.resampled.Label-Analysis,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,
2048,760.438,15.7559,2714.46,3998.35,2147.68,3152,,,15.7559
3136,1026.47,18.1604,2262.96,4136.49,2148.73,3153,,,18.1604
1472,595.635,14.1136,2806.43,4175.28,2149.54,3154,,,14.1136
1984,756.932,15.5901,2831.86,4566.07,2147.32,3155,,,15.5901
129920,18617.1,62.8385,3156.69,1363.34,2181.22,3156,,,62.8385
3008,975.082,17.9099,3170.53,1468.63,2152.97,3157,,,17.9099
2880,1150.44,17.6522,3050.51,1563.73,2153.06,3158,,,17.6522
115328,12080.9,60.3919,3714.52,2085.64,2179.47,3159,,,60.3919
8448,2021.28,25.2688,3396.11,3619.44,2155.9,3160,,,25.2688
102720,10696,58.1057,2748.5,3913.06,2174.09,3161,,,58.1057
293376,22703.5,82.4408,3888.56,3987.73,2190.33,3162,,,82.4408
1920,729.101,15.4206,2287.62,4014.3,2154.93,3163,,,15.4206
80640,10982.1,53.6024,3318.6,4072.37,2175.53,3164,,,53.6024
5120,1387.64,21.3841,2503.01,4226.6,2155.08,3165,,,21.3841
4032,1216.76,19.7473,2481.18,4354.98,2155.69,3166,,,19.7473
3072,1107.6,18.036,3370.21,4474.94,2156.85,3167,,,18.036
11072,2436.51,27.653,3069.75,4586.96,2161.31,3168,,,27.653
29248,4600.91,38.2266,2326.57,1671.02,2167.27,3169,,,38.2266
41728,5915.13,43.0338,3464.16,1790.2,2171.27,3170,,,43.0338
1600,643.677,14.5113,3074.64,1855.1,2157.01,3171,,,14.5113
1920,720.84,15.4206,2715.89,2042.7,2156.26,3172,,,15.4206
2688,918.334,17.2508,3699.81,2704.63,2157.88,3173,,,17.2508
3072,1016.48,18.036,3032.79,2835.44,2158.6,3174,,,18.036
4928,1391.39,21.1134,2241.14,3626.17,2160.49,3175,,,21.1134
1600,640.33,14.5113,3426.16,3633.02,2155.25,3176,,,14.5113
1408,581.217,13.906,3846.59,3750.92,2157.3,3177,,,13.906
5376,1478.63,21.7347,4040.62,3775.53,2161.12,3178,,,21.7347
6848,1726.87,23.5607,3228.79,3931.44,2159.9,3179,,,23.5607
2624,983.447,17.1128,4018.18,4004.27,2156.3,3180,,,17.1128
1984,724.004,15.5901,2581.02,4012.91,2157,3181,,,15.5901
2624,909.918,17.1128,2958.76,4030.42,2156.1,3182,,,17.1128
62144,9004.15,49.1436,3903.42,1625.81,2178.28,3183,,,49.1436
1856,702.893,15.2473,3306.4,1621.86,2162.66,3184,,,15.2473
1536,616.644,14.3152,3232.29,2008.1,2161.76,3185,,,14.3152
11328,2406.93,27.8645,3368.81,2154.72,2167.32,3186,,,27.8645
28224,4563.04,37.7752,2887.25,3378.26,2173.04,3187,,,37.7752
1792,679.285,15.07,2299.53,4335.67,2162.65,3188,,,15.07
2112,768.802,15.9184,3883.93,4385.53,2160.63,3189,,,15.9184
2048,729.952,15.7559,3808.96,1569.1,2164.93,3190,,,15.7559
1472,601.558,14.1136,2597.04,1726.41,2165.19,3191,,,14.1136
18688,3460.93,32.9247,2920.55,1775.4,2174.73,3192,,,32.9247
1344,554.265,13.692,3157.24,2463.1,2163.12,3193,,,13.692
3136,1019.24,18.1604,3467.2,2893.88,2164.4,3194,,,18.1604
1408,587.061,13.906,3548.41,3130.56,2165.11,3195,,,13.906
84160,9743.53,54.3712,3739.77,3851.12,2186.45,3196,,,54.3712
31552,4811.39,39.2051,3412.2,4163.05,2174.26,3197,,,39.2051
2816,938.833,17.5204,2747.96,4259.92,2164.75,3198,,,17.5204
2496,854.253,16.8299,2833.73,4542.08,2164.98,3199,,,16.8299
1408,577.176,13.906,3123.5,1823.65,2166.2,3200,,,13.906
3200,1042.07,18.2831,2437.12,1827.82,2170.05,3201,,,18.2831
3584,1129.76,18.987,4053.53,1828.25,2173,3202,,,18.987
28160,4519.02,37.7466,2588.6,2540.24,2180.1,3203,,,37.7466
3264,1033.73,18.4042,3595.9,3665.22,2168.81,3204,,,18.4042
2432,846.687,16.6848,3468.75,3694.37,2167.77,3205,,,16.6848
11968,2552.5,28.3797,2315.36,3770.12,2175.23,3206,,,28.3797
4160,1229.46,19.9541,2894.77,4110.3,2172.65,3207,,,19.9541
1920,714.094,15.4206,3346.82,4118.7,2169.2,3208,,,15.4206
282944,26166.3,81.4518,3235.96,4175.18,2209.19,3209,,,81.4518
23296,4537.68,35.4346,2813.98,4182.61,2178.06,3210,,,35.4346
24640,4113.69,36.1033,2225.36,4250.5,2180.07,3211,,,36.1033
1728,796.452,14.8884,2625.92,1581.33,2169.89,3212,,,14.8884
2496,858.426,16.8299,3377.52,1864.44,2172.67,3213,,,16.8299
1344,562.629,13.692,2390.77,2152.06,2173.6,3214,,,13.692
7552,1845.82,24.3419,2318.04,3372.29,2176.08,3215,,,24.3419
159232,16066.4,67.2477,3943.99,3447.09,2207.05,3216,,,67.2477
2240,955.388,16.2337,2248.9,3721.27,2173.56,3217,,,16.2337
1408,593.009,13.906,3224.05,4079.65,2171.66,3218,,,13.906
77440,11302.4,52.8838,3896.08,4247.24,2194.23,3219,,,52.8838
2240,801.246,16.2337,3824.79,4567.33,2174.02,3220,,,16.2337
1472,634.513,14.1136,3060.52,1546.93,2173.19,3221,,,14.1136
1408,650.291,13.906,2614.23,1650.56,2174.93,3222,,,13.906
2368,894.729,16.5372,2628.9,1664.72,2180.34,3223,,,16.5372
24448,5074.3,36.0093,2715.24,2213.01,2191.12,3224,,,36.0093
8384,2078.79,25.2049,3963.81,2355.01,2180.89,3225,,,25.2049
1600,631.859,14.5113,3322.32,2399.74,2177.81,3226,,,14.5113
1344,565.361,13.692,2608.86,2466.34,2176.65,3227,,,13.692
1408,567.908,13.906,2907.5,4319.28,2175.11,3228,,,13.906
2368,855.798,16.5372,3031.39,1224.62,2181.31,3229,,,16.5372
4480,1296.08,20.4531,2329.36,1476.76,2183.85,3230,,,20.4531
1408,580.394,13.906,2824.77,1474.56,2181.84,3231,,,13.906
5248,1608.56,21.5608,3160.66,2008.57,2184.3,3232,,,21.5608
20864,4182.04,34.156,3133.63,2441.74,2191.97,3233,,,34.156
5632,1516.21,22.0744,3705.77,2759.15,2183.16,3234,,,22.0744
14784,2939.21,30.4507,3540.22,2841.13,2187.45,3235,,,30.4507
1344,562.681,13.692,3710.58,2871.48,2177.79,3236,,,13.692
62848,7718.97,49.3285,3996.13,3719.79,2198.96,3237,,,49.3285
1984,733.326,15.5901,4016.38,3817.17,2180.74,3238,,,15.5901
1920,742.619,15.4206,4038.96,4208.7,2178.4,3239,,,15.4206
2240,811.107,16.2337,4050.84,4568.82,2179.05,3240,,,16.2337
4160,1437.93,19.9541,2857.97,1344.46,2185.76,3241,,,19.9541
2112,768.985,15.9184,2669.38,1442.86,2185.36,3242,,,15.9184
1472,601.531,14.1136,3050.09,1475.28,2182.93,3243,,,14.1136
165696,21779.5,68.1456,2485.84,1616.24,2214,3244,,,68.1456
2112,751.037,15.9184,2661.14,1744.92,2184.87,3245,,,15.9184
4096,1213.13,19.8512,3416.14,2215.85,2185.18,3246,,,19.8512
1600,631.113,14.5113,2463.28,2713.98,2182.93,3247,,,14.5113
1600,631.166,14.5113,3976.4,3491.9,2184.69,3248,,,14.5113
1792,687.676,15.07,3896.53,3853.67,2184.65,3249,,,15.07
1600,622.028,14.5113,2439.12,3867.26,2183.73,3250,,,14.5113
1600,634.461,14.5113,2192.88,1222.78,2186.93,3251,,,14.5113
11456,2461.35,27.9691,3260.21,1666.12,2197.19,3252,,,27.9691
46912,6446.21,44.7468,2948.53,2389.09,2205.61,3253,,,44.7468
4416,1274.25,20.3553,3446.49,2931.74,2192.15,3254,,,20.3553
47360,7424.99,44.8888,2549.65,3142.16,2208.38,3255,,,44.8888
8768,2171.34,25.5839,2963.01,4071.89,2194.32,3256,,,25.5839
159360,20164.3,67.2657,3466.1,4245.03,2214.53,3257,,,67.2657
9664,2231.1,26.4273,3959.3,4475.87,2193.5,3258,,,26.4273
5568,1558.15,21.9904,2820.8,1331.24,2196.72,3259,,,21.9904
1408,582.968,13.906,2668.23,1778.19,2192.02,3260,,,13.906
2432,864.163,16.6848,3122.54,1992.26,2194.83,3261,,,16.6848
2624,972.376,17.1128,3701.88,2287.3,2193.57,3262,,,17.1128
24640,4843.75,36.1033,2279.64,3960.86,2208.72,3263,,,36.1033
2688,897.354,17.2508,2234.38,4024.91,2192.84,3264,,,17.2508
1984,745.195,15.5901,4059.86,4212.78,2194.03,3265,,,15.5901
4864,1360.76,21.0216,3640.75,4233.84,2193.98,3266,,,21.0216
15104,2959.34,30.6689,2547.13,4303.26,2199.02,3267,,,30.6689
2112,768.907,15.9184,3698.35,4324.07,2191.9,3268,,,15.9184
2368,843.444,16.5372,3733.66,1362.89,2198.17,3269,,,16.5372
91520,10651.4,55.9121,2401.18,1558.54,2216.7,3270,,,55.9121
1344,568.551,13.692,4037.62,1707.86,2193.6,3271,,,13.692
2624,882.217,17.1128,2337.69,1785.93,2196.88,3272,,,17.1128
2752,1110.92,17.3867,4039.79,1823.38,2201.82,3273,,,17.3867
1664,667.441,14.7023,2372.49,1894.18,2193.85,3274,,,14.7023
56192,7448.61,47.5217,4007.38,2360.2,2213.92,3275,,,47.5217
1344,562.68,13.692,3092.67,2664.44,2194.74,3276,,,13.692
23936,4101.49,35.7562,3334.73,2800.27,2207.47,3277,,,35.7562
29440,4642.23,38.3101,2851.88,3246.22,2207.07,3278,,,38.3101
61824,7878.61,49.0591,3018.52,3621.14,2215.91,3279,,,49.0591
132032,15845.1,63.1772,2921.22,3823.07,2229.03,3280,,,63.1772
1600,648.983,14.5113,2359.6,3870.62,2196.21,3281,,,14.5113
4864,1361.2,21.0216,2891.32,4017.73,2199.14,3282,,,21.0216
463232,31944,95.999,2558.78,4100.35,2251.48,3283,,,95.999
2432,859.095,16.6848,3853.9,4094.58,2198.62,3284,,,16.6848
5056,1395.93,21.2946,3967.36,4159.71,2198.43,3285,,,21.2946
3328,1064.11,18.5237,2578.42,4210.1,2196.62,3286,,,18.5237
2304,933.368,16.3868,3032.51,1227.1,2198.38,3287,,,16.3868
8320,1988.23,25.1406,3065.69,1499.44,2204.84,3288,,,25.1406
1856,714.866,15.2473,3083.65,1606.28,2199.21,3289,,,15.2473
1920,894.29,15.4206,3128.29,1823.77,2199.86,3290,,,15.4206
18880,3459.57,33.037,3459.06,1959.88,2209.43,3291,,,33.037
135808,13232.7,63.7738,3104.68,3990.43,2222.87,3292,,,63.7738
2816,1005.49,17.5204,3419.59,4132.83,2201.11,3293,,,17.5204
1792,712.319,15.07,3033.53,4136.39,2204.79,3294,,,15.07
1472,595.688,14.1136,3041.74,4163.97,2199.11,3295,,,14.1136
6976,1754.03,23.7066,3386.74,4394.11,2204.44,3296,,,23.7066
39936,5702.54,42.4087,2764.94,1522.25,2218.61,3297,,,42.4087
4288,1260.48,20.1567,3065.94,1588.77,2207.53,3298,,,20.1567
10368,2302.24,27.054,3710.64,1699.55,2209.4,3299,,,27.054
3264,1019.24,18.4042,3630.88,1749.22,2205.05,3300,,,18.4042
2240,805.13,16.2337,3768.44,1938.19,2204.07,3301,,,16.2337
3584,1105.59,18.987,3668.03,2029.75,2205.07,3302,,,18.987
1600,631.087,14.5113,3784.72,2324.54,2202.13,3303,,,14.5113
35904,6666.73,40.9306,3501.84,2920.17,2222.26,3304,,,40.9306
2752,939.424,17.3867,2307.33,3518.64,2204.42,3305,,,17.3867
2112,787.288,15.9184,3743.2,4343.71,2206.57,3306,,,15.9184
1472,610.828,14.1136,2694.96,1291.1,2205.19,3307,,,14.1136
36928,5760.62,41.3161,3538.69,1628.34,2224.57,3308,,,41.3161
17600,3266.57,32.2729,2425.6,1716.16,2216.44,3309,,,32.2729
9216,2142.08,26.0125,3332.93,1735.6,2216.01,3310,,,26.0125
6400,1639.33,23.0353,2418,2555.74,2213.09,3311,,,23.0353
2688,906.544,17.2508,2538.77,2709.2,2209.22,3312,,,17.2508
4800,1361.64,20.929,2618.42,2776.28,2210.82,3313,,,20.929
1536,613.401,14.3152,3161.79,4087.94,2208.6,3314,,,14.3152
1600,634.486,14.5113,3319.6,4191.1,2209.49,3315,,,14.5113
23744,4017.3,35.6603,2439.46,4449.8,2218,3316,,,35.6603
1408,580.445,13.906,3918.05,4582.56,2207.3,3317,,,13.906
149184,14414.6,65.8023,3861.59,1703.36,2242.52,3318,,,65.8023
3904,1191.43,19.5361,3367.28,1745.79,2216.05,3319,,,19.5361
38336,5644.58,41.8346,2658.28,1792.7,2227.25,3320,,,41.8346
1984,732.606,15.5901,2529.79,1868.26,2211.19,3321,,,15.5901
2560,878.922,16.9726,2669.26,1893.3,2211.33,3322,,,16.9726
1984,739.328,15.5901,3331.6,1971.23,2210.54,3323,,,15.5901
1536,703.665,14.3152,2569.29,2052.44,2211.93,3324,,,14.3152
4544,1323.04,20.5501,3012.42,3885.98,2214.26,3325,,,20.5501
1408,587.034,13.906,3184.41,1804.01,2215.11,3326,,,13.906
1472,592.341,14.1136,3628.7,1834.23,2214.06,3327,,,14.1136
15040,2920.82,30.6255,2655.35,2795.09,2222.78,3328,,,30.6255
12352,2579.35,28.68,3723.21,3468.78,2222.66,3329,,,28.68
44288,6282.75,43.8964,2459.17,3522.88,2230.97,3330,,,43.8964
5440,1504.11,21.8206,3922.72,3551.34,2221.75,3331,,,21.8206
10176,2232.37,26.886,2628.31,3568.79,2224.52,3332,,,26.886
2880,951.503,17.6522,3492.02,4536.44,2216,3333,,,17.6522
17280,3330.28,32.0761,2816.42,1692.42,2228.68,3334,,,32.0761
2624,878.869,17.1128,2764.52,1873.93,2221.27,3335,,,17.1128
1728,673.309,14.8884,3144.73,2051.55,2220.41,3336,,,14.8884
123904,12787.6,61.8532,2808.76,2483.87,2248.21,3337,,,61.8532
15424,2976.25,30.884,2415.82,2655.68,2228.86,3338,,,30.884
8768,2116.02,25.5839,3165.12,3319.57,2225.15,3339,,,25.5839
1344,592.854,13.692,3629.24,3644.63,2220.84,3340,,,13.692
21760,3796.53,34.6381,3181.56,3732.9,2229.55,3341,,,34.6381
1984,744.371,15.5901,3401.8,3792.65,2219.32,3342,,,15.5901
3264,1052.97,18.4042,2371.27,4243.34,2220.97,3343,,,18.4042
154624,14798.1,66.5926,2738.23,1739.53,2249.99,3344,,,66.5926
4352,1292.58,20.2565,4028.13,1943.16,2226.05,3345,,,20.2565
12352,2589.7,28.68,2647.76,2125.11,2231.51,3346,,,28.68
11008,2386.15,27.5996,3628.61,3213.27,2231.61,3347,,,27.5996
37248,5512.28,41.4351,2839.27,3347.14,2237.99,3348,,,41.4351
12032,2501.26,28.4302,2842.45,3426.17,2231.19,3349,,,28.4302
113920,17118.2,60.1451,2787.7,3896.79,2251.1,3350,,,60.1451
42624,7162.96,43.3396,2252.13,4082.46,2242.61,3351,,,43.3396
1728,673.336,14.8884,3048.29,4533.62,2224.71,3352,,,14.8884
2752,1099.77,17.3867,2780.72,1192.87,2231.58,3353,,,17.3867
1984,724.005,15.5901,3096.89,1673.04,2229.12,3354,,,15.5901
2752,938.779,17.3867,2521.65,1797.24,2230.75,3355,,,17.3867
4480,1341.19,20.4531,3448.5,2379.56,2232.36,3356,,,20.4531
4992,1393.4,21.2044,3882.96,2440.38,2229.96,3357,,,21.2044
2624,887.339,17.1128,2909.3,4127.79,2228.69,3358,,,17.1128
10048,2246.4,26.7728,2748.51,4135.56,2236.05,3359,,,26.7728
2048,729.952,15.7559,4032.96,4205.1,2228.93,3360,,,15.7559
2560,902.581,16.9726,2681.86,1240.1,2231.23,3361,,,16.9726
1536,616.054,14.3152,2210.12,1738.1,2230.93,3362,,,14.3152
17088,3206.81,31.9569,3174.31,1804.62,2240.7,3363,,,31.9569
1344,562.629,13.692,3253.62,2143.48,2232.65,3364,,,13.692
3008,987.62,17.9099,2818.62,2566.42,2232.55,3365,,,17.9099
4864,1383.06,21.0216,2864.17,3222.05,2237.25,3366,,,21.0216
1536,610.028,14.3152,2349.79,3251.27,2230.6,3367,,,14.3152
7104,1834.23,23.8507,2175.64,4037.63,2238.82,3368,,,23.8507
2880,972.376,17.6522,2899.49,4043.19,2233.78,3369,,,17.6522
1792,681.912,15.07,3804.1,4087.25,2231.79,3370,,,15.07
2048,745.378,15.7559,2923.46,4096.73,2232.56,3371,,,15.7559
1536,619.243,14.3152,2850.79,4158.27,2233.6,3372,,,14.3152
1920,712.188,15.4206,3321.09,4233.1,2232.53,3373,,,15.4206
1792,781.472,15.07,3802.81,4241.53,2232.93,3374,,,15.07
1792,702.865,15.07,2447.81,1469.82,2235.79,3375,,,15.07
2496,874.388,16.8299,2338.03,3202.49,2237.91,3376,,,16.8299
1664,643.139,14.7023,2403.11,3258.8,2237.85,3377,,,14.7023
5120,1406.1,21.3841,3894.86,3702.85,2240.88,3378,,,21.3841
5760,1539.56,22.2403,2746.56,4012.7,2242,3379,,,22.2403
4672,1340.19,20.7412,3804.76,4108.58,2240.85,3380,,,20.7412
2112,990.834,15.9184,2922.71,4285.53,2234.93,3381,,,15.9184
1536,609.359,14.3152,2666.62,1374.44,2238.93,3382,,,14.3152
2880,968.414,17.6522,2715.85,1684.7,2239.64,3383,,,17.6522
2176,768.802,16.0776,2637.31,1713.34,2240.7,3384,,,16.0776
1792,679.363,15.07,3235.81,2398.96,2242.36,3385,,,15.07
1792,685.259,15.07,3055.1,3468.67,2239.79,3386,,,15.07
295936,22797.1,82.6799,2341.03,3505.79,2277.08,3387,,,82.6799
73600,8905.97,51.9948,2307.56,3639.68,2261.15,3388,,,51.9948
2112,760.332,15.9184,2833.5,3840.68,2240.99,3389,,,15.9184
20928,3698.82,34.1908,3026.55,4095.58,2249.01,3390,,,34.1908
2176,786.751,16.0776,3756.02,4283.34,2239.99,3391,,,16.0776
2752,951.291,17.3867,3617.19,1624.22,2244.14,3392,,,17.3867
3520,1103.53,18.8733,3265.28,1641.58,2245.04,3393,,,18.8733
1728,670.042,14.8884,4053.47,1730.07,2243.67,3394,,,14.8884
19648,3567.73,33.4791,3859.75,1998.29,2252.68,3395,,,33.4791
7104,1768.53,23.8507,2852.11,2078.13,2249.81,3396,,,23.8507
27136,4415.11,37.2834,2387.89,2102.95,2257.01,3397,,,37.2834
2112,798.489,15.9184,3829.14,2113.65,2243.42,3398,,,15.9184
11328,2677.08,27.8645,3489.46,2404.59,2249.08,3399,,,27.8645
27072,4966.65,37.2541,2742.99,2404.07,2259.4,3400,,,37.2541
14336,2840.54,30.14,3428.15,2940.14,2252.02,3401,,,30.14
3584,1112.05,18.987,3369.1,3087.53,2247.72,3402,,,18.987
8320,1968.75,25.1406,3379.91,3537.01,2250.38,3403,,,25.1406
4544,1532.61,20.5501,2738.84,3749.69,2250.93,3404,,,20.5501
2688,918.283,17.2508,3124.58,3846.72,2247.5,3405,,,17.2508
3200,1106.72,18.2831,4067.04,3968.06,2246.05,3406,,,18.2831
6144,1761.06,22.724,4087.04,4216.02,2247.35,3407,,,22.724
134272,13932.8,63.5325,3758.71,4231.44,2269.1,3408,,,63.5325
8128,1959.43,24.9457,2870.52,4544.36,2251.06,3409,,,24.9457
5120,1424.66,21.3841,3891.96,1586,2252.28,3410,,,21.3841
2112,766.23,15.9184,2864.9,1605.16,2248.39,3411,,,15.9184
1472,593.113,14.1136,3210.78,3595.45,2248.67,3412,,,14.1136
1344,553.491,13.692,3033.81,4051.86,2247.69,3413,,,13.692
19776,3748.15,33.5516,2383.72,1799.43,2261.35,3414,,,33.5516
87360,10423.5,55.0518,2858.19,3120.13,2274.95,3415,,,55.0518
32448,5162.81,39.5728,3215.35,3786.23,2267.47,3416,,,39.5728
1344,701.092,13.692,2387.91,4133.58,2256.84,3417,,,13.692
2304,826.937,16.3868,3698.62,4182.99,2255.6,3418,,,16.3868
2752,1095.83,17.3867,2795.24,1195.47,2255.58,3419,,,17.3867
29248,4690.94,38.2266,2832.21,1411.93,2266.49,3420,,,38.2266
3648,1142.25,19.0994,3119.31,1446.75,2260.12,3421,,,19.0994
1600,627.871,14.5113,3719.92,1727.42,2255.09,3422,,,14.5113
6400,1652.13,23.0353,2548,2450.58,2258.77,3423,,,23.0353
1536,613.401,14.3152,2251.79,3400.27,2257.26,3424,,,14.3152
40320,6332.17,42.5442,3443.1,3652.05,2267.27,3425,,,42.5442
6336,1635.96,22.9583,4013.38,4117.77,2262.69,3426,,,22.9583
3776,1159.69,19.3202,3900.38,4233.14,2257.3,3427,,,19.3202
4480,1289.57,20.4531,3010.1,1733.96,2261.73,3428,,,20.4531
10368,2691.76,27.054,3045.28,2706.16,2268.59,3429,,,27.054
6080,1614.8,22.6448,3069.74,2760.37,2266.09,3430,,,22.6448
26304,4501.43,36.8984,2972.83,2800.4,2273.46,3431,,,36.8984
7360,1818.83,24.1338,3232.21,3241.29,2262.41,3432,,,24.1338
13696,2767.52,29.6846,2382.26,3333.5,2267.44,3433,,,29.6846
6016,1578.55,22.5651,2382.45,3796.46,2264.08,3434,,,22.5651
10048,2269.81,26.7728,2238.8,3842.26,2264.97,3435,,,26.7728
82688,9305.51,54.0524,3633.42,3896.87,2279.7,3436,,,54.0524
1664,642.471,14.7023,3934.65,3895.41,2259.24,3437,,,14.7023
276928,21726.7,80.8704,2492.09,4414.56,2294.59,3438,,,80.8704
17856,4135.83,32.4286,2747.1,1449.93,2273.23,3439,,,32.4286
2560,896.044,16.9726,3143.16,1477.3,2263.53,3440,,,16.9726
5952,1575.89,22.4848,2489.58,1496.35,2265.6,3441,,,22.4848
370432,26767.1,89.1053,2645.75,1506.68,2306.14,3442,,,89.1053
2368,841.33,16.5372,3074.2,2001.91,2265.63,3443,,,16.5372
85760,10751.7,54.7136,3832.89,2809.72,2289.36,3444,,,54.7136
1664,643.009,14.7023,2339.42,3083.87,2263.09,3445,,,14.7023
10240,2282.21,26.9422,2793.51,3700.08,2270.28,3446,,,26.9422
2368,843.21,16.5372,2775.93,3752.18,2265.2,3447,,,16.5372
41856,5898.64,43.0778,2390.65,3762.64,2280.78,3448,,,43.0778
12224,2667.02,28.5806,3762.79,4009.2,2277.65,3449,,,28.5806
391104,29029.9,90.7329,3980.03,4161.22,2306.04,3450,,,90.7329
105984,11097.3,58.7148,2511.49,1320.19,2289.33,3451,,,58.7148
31872,4968.41,39.3372,2755.15,1604.41,2280.18,3452,,,39.3372
1408,580.446,13.906,2689.14,1654.38,2265.84,3453,,,13.906
4480,1312.17,20.4531,3796.5,2113.1,2272.13,3454,,,20.4531
1408,574.603,13.906,3557.68,2931.65,2267.48,3455,,,13.906
15296,2969.97,30.7983,2815.83,3546.43,2275.12,3456,,,30.7983
1728,782.835,14.8884,3125.33,3865.03,2270.64,3457,,,14.8884
2432,831.444,16.6848,2744.64,3976.26,2269.46,3458,,,16.6848
1536,613.401,14.3152,3310.29,4408.6,2269.43,3459,,,14.3152
12544,2580.27,28.8279,3982.53,4470.72,2275.5,3460,,,28.8279
7040,1766.98,23.7789,3242.7,4546.12,2273.37,3461,,,23.7789
68992,12008,50.8862,3724.42,1557.17,2302.39,3462,,,50.8862
3776,1167.37,19.3202,3651.57,1536.66,2274.59,3463,,,19.3202
2240,793.34,16.2337,3692.1,2229.5,2272.53,3464,,,16.2337
70272,9841.02,51.199,2953.38,3676.48,2296.34,3465,,,51.199
1472,595.61,14.1136,2725.56,1622.93,2275.11,3466,,,14.1136
2816,948.847,17.5204,2614.05,1739.65,2276.39,3467,,,17.5204
283648,21505.4,81.5193,3875.25,1881.63,2315.01,3468,,,81.5193
4992,1390.24,21.2044,3059.11,2034.08,2279.19,3469,,,21.2044
1728,667.467,14.8884,2993.62,2266.66,2276.41,3470,,,14.8884
1600,631.271,14.5113,2371.6,3586.46,2277.65,3471,,,14.5113
22336,4043.3,34.941,3520.46,3732.83,2287.33,3472,,,34.941
1408,591.332,13.906,3044.41,3776.38,2278.2,3473,,,13.906
1728,666.642,14.8884,3994.81,3819.55,2278.19,3474,,,14.8884
105088,10928.2,58.5488,3779.43,3913.06,2298.91,3475,,,58.5488
1344,559.281,13.692,3958,3911.67,2276.26,3476,,,13.692
1728,673.232,14.8884,3228.73,4140.88,2277.75,3477,,,14.8884
2048,812.342,15.7559,4065.21,4209.1,2275.18,3478,,,15.7559
4992,1391.66,21.2044,3354.85,4365.26,2279.55,3479,,,21.2044
2304,810.569,16.3868,3850.73,4525.44,2276.6,3480,,,16.3868
2688,893.26,17.2508,3609.24,1481.29,2279.79,3481,,,17.2508
207680,21561.6,73.4737,3525.61,1546.33,2320.22,3482,,,73.4737
2368,831.444,16.5372,3200.58,1582.35,2282.07,3483,,,16.5372
1984,902.986,15.5901,3859.6,2344.39,2280.87,3484,,,15.5901
2048,760.387,15.7559,3421.71,2669.35,2281.56,3485,,,15.7559
92224,10560.4,56.0551,3463.85,2725.84,2305.51,3486,,,56.0551
1408,577.203,13.906,3402.05,3724.01,2279.48,3487,,,13.906
1344,556.76,13.692,2804.29,3766.72,2278.93,3488,,,13.692
5888,1817.54,22.4039,2693.7,4136.8,2284.63,3489,,,22.4039
15104,4062.12,30.6689,2675.97,4281.44,2297.61,3490,,,30.6689
69376,8598.39,50.9804,3304.72,1733.87,2301.33,3491,,,50.9804
8576,2019.63,25.3958,3675.52,1736.27,2289.86,3492,,,25.3958
25792,4225.05,36.6574,4001.21,1878.65,2297.84,3493,,,36.6574
72768,9133.74,51.7981,3928.4,2102.94,2307.2,3494,,,51.7981
1408,580.367,13.906,3475.32,2391.47,2283.48,3495,,,13.906
2624,897.382,17.1128,3807.64,3615.79,2284.49,3496,,,17.1128
1920,720.657,15.4206,3224.29,3874.84,2286.13,3497,,,15.4206
1408,581.218,13.906,3810.96,4183.28,2284.57,3498,,,13.906
2432,849.236,16.6848,2726.01,4269.52,2284.51,3499,,,16.6848
46336,6460.28,44.5629,3417.8,1362.58,2305.24,3500,,,44.5629
1472,595.715,14.1136,2256.17,1710.75,2286.93,3501,,,14.1136
1728,673.311,14.8884,3412.14,1769.18,2286.78,3502,,,14.8884
3584,1112.69,18.987,2248.6,1794.39,2291.5,3503,,,18.987
3136,1013.16,18.1604,2659.28,1893.23,2288.16,3504,,,18.1604
1600,634.565,14.5113,3350.96,2650.94,2288.05,3505,,,14.5113
3584,1240.24,18.987,3610.1,3339.6,2290.22,3506,,,18.987
3712,1223.48,19.2104,3254.61,3730,2291,3507,,,19.2104
2304,843.34,16.3868,2619.96,3930.77,2289.38,3508,,,16.3868
3968,1578.83,19.6422,2928.12,4234.39,2295,3509,,,19.6422
29952,4694.11,38.5309,2782.32,2200.33,2307.94,3510,,,38.5309
1536,606.759,14.3152,3891.29,2711.77,2290.93,3511,,,14.3152
2752,905.156,17.3867,2905.1,2813.24,2291.68,3512,,,17.3867
82496,9258.51,54.0105,2365.09,3188.42,2312.2,3513,,,54.0105
2176,766.307,16.0776,3676.6,3509.1,2292.58,3514,,,16.0776
2560,861.985,16.9726,3156.96,3621.1,2294.13,3515,,,16.9726
212480,18592.8,74.0355,3551.78,3861.98,2323.23,3516,,,74.0355
2816,942.101,17.5204,2256.87,3921.01,2295.02,3517,,,17.5204
2432,846.608,16.6848,2916.75,4023.84,2293.56,3518,,,16.6848
2304,822.923,16.3868,3229.73,4050.66,2291.93,3519,,,16.3868
4672,1338.67,20.7412,2716.44,4113.68,2294.6,3520,,,20.7412
132928,14062.4,63.3198,3017.5,1361.43,2322.73,3521,,,63.3198
2496,880.258,16.8299,2839.47,1634.9,2297.7,3522,,,16.8299
5632,1493.51,22.0744,2427.68,1810.88,2298.61,3523,,,22.0744
1984,730.135,15.5901,3665.54,1910.33,2297.12,3524,,,15.5901
1536,685.875,14.3152,3050.79,2184.44,2295.43,3525,,,14.3152
