chushi.resampled.Label-Analysis,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,
17024,3209,31.9169,3717.33,4137.58,1031.35,87,,,31.9169
1536,622.565,14.3152,2637.46,4429.94,1023.43,88,,,14.3152
3200,1031.83,18.2831,2301.52,4437.02,1026.13,89,,,18.2831
1408,577.951,13.906,3638.77,4460.56,1022.57,90,,,13.906
2432,862.388,16.6848,2858.43,4703.31,1023.67,91,,,16.6848
1984,739.247,15.5901,2349.54,4904.26,1024.74,92,,,15.5901
1728,697.822,14.8884,2794.22,685.325,1026.34,93,,,14.8884
1600,622.028,14.5113,3334.8,1070.94,1030.13,94,,,14.5113
5248,1434.16,21.5608,3542.22,1706.81,1034.79,95,,,21.5608
357184,30110.5,88.0301,2329,1822.49,1074.38,96,,,88.0301
20672,3903.53,34.0509,3609.94,2126.87,1039.17,97,,,34.0509
5568,1540.57,21.9904,3044.06,2130.73,1033.23,98,,,21.9904
52032,7090.52,46.3188,2857.99,2227.41,1044.21,99,,,46.3188
24064,4109.78,35.8198,2432.16,3812.33,1039.02,100,,,35.8198
1472,595.635,14.1136,3223.48,4362.58,1029.02,101,,,14.1136
1984,735.953,15.5901,3710.57,4455.62,1027.19,102,,,15.5901
4032,1218.25,19.7473,2901.12,4488.82,1030.68,103,,,19.7473
142336,15131.3,64.7797,2516.29,4600.8,1056.01,104,,,64.7797
3136,1181.36,18.1604,2178.06,4617.55,1034.69,105,,,18.1604
4672,1338.35,20.7412,2373.7,5119.71,1030.33,106,,,20.7412
1600,656.241,14.5113,2582,1482.62,1032.05,107,,,14.5113
2368,832.269,16.5372,3228.04,3873.59,1031.47,108,,,16.5372
6528,1670.79,23.1879,3435,4064.79,1035.68,109,,,23.1879
1856,706.212,15.2473,2675.92,4128.48,1033.55,110,,,15.2473
4544,1298.89,20.5501,3114.96,4131.05,1035.78,111,,,20.5501
226240,22066.1,75.6003,2629.35,4198.96,1065.82,112,,,75.6003
3136,996.273,18.1604,2230.71,4213.47,1032.56,113,,,18.1604
24128,4001.1,35.8515,2407.18,4260.73,1042.89,114,,,35.8515
1792,685.259,15.07,3211.81,4451.25,1032.93,115,,,15.07
1984,738.579,15.5901,2228.38,4879.1,1031.45,116,,,15.5901
1344,595.583,13.692,3854.96,1001.96,1033.79,117,,,13.692
7552,1947.51,24.3419,2408.75,1011.24,1039.17,118,,,24.3419
1472,607.4,14.1136,3586.43,1212.32,1034.41,119,,,14.1136
2432,841.38,16.6848,3967.8,1229.42,1036.51,120,,,16.6848
19904,3638.47,33.6238,2245.94,1471.09,1048.31,121,,,33.6238
7808,1907.22,24.6139,3373.22,1629.27,1040.21,122,,,24.6139
3776,1170.99,19.3202,3178.48,1984.26,1037.91,123,,,19.3202
2240,801.943,16.2337,3595.76,2082.65,1037.1,124,,,16.2337
12416,2756.02,28.7295,3660.92,2570.69,1046.07,125,,,28.7295
13056,2716.01,29.2149,3197.15,2800.04,1043.32,126,,,29.2149
2304,829.645,16.3868,3418.29,3015.88,1037.49,127,,,16.3868
11392,2469.28,27.9169,2294.44,3680.5,1043.11,128,,,27.9169
1728,770.218,14.8884,2307.55,4023.25,1036.71,129,,,14.8884
5824,1550.87,22.3224,2566.65,4084.16,1039.11,130,,,22.3224
10944,2353.74,27.546,2529.2,4257.56,1043,131,,,27.546
1472,585.751,14.1136,2867.3,4895.1,1035.28,132,,,14.1136
111552,11846.8,59.7255,2312.3,4989.15,1057.92,133,,,59.7255
2048,751.143,15.7559,3954.71,1094.1,1039.68,134,,,15.7559
2112,786.541,15.9184,3967.8,1260.19,1039.78,135,,,15.9184
1664,652.355,14.7023,3756.96,1335.1,1038.01,136,,,14.7023
6784,1760.75,23.4871,2557.37,2033.97,1044.52,137,,,23.4871
3136,1030,18.1604,3566.79,3874.53,1041.05,138,,,18.1604
124032,14786.1,61.8745,2947.39,3954.28,1068.49,139,,,61.8745
1664,658.093,14.7023,2880.8,4146.49,1040.78,140,,,14.7023
151616,14998.5,66.158,2245.64,4269.39,1065.81,141,,,66.158
2304,811.105,16.3868,2672.96,4360.33,1041.49,142,,,16.3868
2304,846.53,16.3868,2396.62,4473.66,1040.93,143,,,16.3868
4864,1397.34,21.0216,2873.59,905.682,1047.93,144,,,21.0216
7360,1854.98,24.1338,3939.55,1132.74,1047.04,145,,,24.1338
1472,616.053,14.1136,2491.83,1232.67,1043.11,146,,,14.1136
225984,21012.4,75.5718,3705,1306.99,1075.68,147,,,75.5718
2304,824.986,16.3868,3952.29,1460.1,1043.15,148,,,16.3868
1920,712.346,15.4206,4020.96,2053.5,1043.73,149,,,15.4206
1344,568.471,13.692,3300.29,2627.1,1045.22,150,,,13.692
1408,583.792,13.906,3956.59,3260.19,1042.93,151,,,13.906
22016,3919.85,34.7734,2629.99,3287.81,1055.45,152,,,34.7734
2112,795.809,15.9184,2331.32,3788.8,1044.14,153,,,15.9184
1984,724.004,15.5901,3421.02,3820.91,1045,154,,,15.5901
2880,962.44,17.6522,3494.33,736.436,1048.09,155,,,17.6522
2432,886.023,16.6848,3787.27,1049.31,1048.41,156,,,16.6848
1.65E+06,98039.4,146.694,2742.91,1189.22,1108.32,157,,,146.694
2112,771.534,15.9184,4013.87,1359.35,1046.81,158,,,15.9184
145856,15883.9,65.3093,2588.89,1423.2,1080.64,159,,,65.3093
1600,631.297,14.5113,2289.68,1494.14,1047.41,160,,,14.5113
4864,1385.07,21.0216,2948.64,1697.94,1051.51,161,,,21.0216
38976,5934.3,42.0662,3965.98,2358.8,1064.92,162,,,42.0662
4992,1409.39,21.2044,2624.44,3332.54,1050.93,163,,,21.2044
42240,7060.63,43.2091,2676.08,4275.54,1061.46,164,,,43.2091
3200,1021.89,18.2831,3344.8,4713.5,1049.97,165,,,18.2831
21120,3738.95,34.2951,3521.5,4823.31,1059.04,166,,,34.2951
3776,1175.39,19.3202,2248.72,4920.53,1048.97,167,,,19.3202
3264,1044.34,18.4042,3199.51,921.691,1053.99,168,,,18.4042
2048,777.273,15.7559,3525.96,1528.48,1054.06,169,,,15.7559
32960,5370.08,39.7798,2257.82,1890.06,1067.04,170,,,39.7798
3200,1034.09,18.2831,2616,1983.9,1056.29,171,,,18.2831
9024,2166.69,25.8305,2901.42,2748.38,1057.57,172,,,25.8305
9792,2206.47,26.5435,3003.03,4621.14,1060.11,173,,,26.5435
1344,562.602,13.692,3686,4841.2,1051.5,174,,,13.692
9088,2070.53,25.8915,2221.35,4869.38,1057.27,175,,,25.8915
2240,801.064,16.2337,2791.98,4928.13,1051.96,176,,,16.2337
213312,18103.4,74.132,3625.17,5008.25,1084.36,177,,,74.132
1536,631.114,14.3152,3960.96,737.769,1053.76,178,,,14.3152
272064,22044.1,80.3941,3873.02,1052.9,1092.24,179,,,80.3941
1344,562.68,13.692,2466.38,1322.15,1055.12,180,,,13.692
5760,1566.19,22.2403,3483.71,1425.99,1062.22,181,,,22.2403
3712,1145.6,19.2104,3822.13,1969.86,1058.24,182,,,19.2104
1600,628.591,14.5113,2217.2,4351.26,1054.93,183,,,14.5113
1344,559.36,13.692,2609.81,4471.86,1055.31,184,,,13.692
789056,46225.2,114.649,3802.39,4734.77,1110.87,185,,,114.649
2496,853.303,16.8299,3135.78,4749.46,1056.88,186,,,16.8299
2432,838.166,16.6848,3665.38,4861.1,1057.46,187,,,16.6848
18560,3653.04,32.8493,3160.91,901.448,1072.9,188,,,32.8493
8320,2026.97,25.1406,2833.02,1124.58,1066.99,189,,,25.1406
1344,562.708,13.692,2485.43,1246.15,1058.93,190,,,13.692
1344,554.237,13.692,2591.15,1313.39,1058.93,191,,,13.692
1664,657.242,14.7023,3180.96,1581.87,1060.16,192,,,14.7023
1984,736.058,15.5901,2307.86,1691.62,1059.06,193,,,15.5901
2432,858.531,16.6848,2861.9,1997.84,1060.93,194,,,16.6848
2240,795.863,16.2337,2665.36,3641.85,1061.1,195,,,16.2337
57536,7626.52,47.8976,2525.14,3675.18,1077.13,196,,,47.8976
35264,5592.7,40.6859,3290.34,4110.19,1072.55,197,,,40.6859
7232,1815.85,23.9931,3364.12,4324.8,1064.49,198,,,23.9931
3904,1411.94,19.5361,2200.27,4638.51,1072.7,199,,,19.5361
115136,14878.6,60.3584,3680.02,4717.97,1083.1,200,,,60.3584
1664,646.462,14.7023,2880.49,4786.64,1058.93,201,,,14.7023
1344,560.107,13.692,3930.58,973.198,1062.93,202,,,13.692
1856,708.892,15.2473,2208.2,1508.62,1063.76,203,,,15.2473
8896,2140.87,25.7078,3424.14,1793.38,1072.63,204,,,25.7078
1472,592.367,14.1136,2806.61,4258.58,1063.8,205,,,14.1136
2240,801.036,16.2337,2885.13,4346.76,1063.73,206,,,16.2337
4864,1361.43,21.0216,2940.17,4524.89,1067.67,207,,,21.0216
1344,556.733,13.692,2602.19,4761.39,1063.5,208,,,13.692
104320,13056.6,58.4059,2511.31,4994.42,1091.68,209,,,58.4059
3392,1113.44,18.6417,3977.3,1275.86,1067.38,210,,,18.6417
21952,5512.21,34.7396,3054.99,1339.91,1082.49,211,,,34.7396
15936,4317.44,31.222,3036.72,1478.88,1078.87,212,,,31.222
1536,664.043,14.3152,2434.46,1548.77,1065.1,213,,,14.3152
3008,1004.56,17.9099,2645.17,1833.91,1072.04,214,,,17.9099
16704,3237.16,31.7157,3256.21,1936.53,1077.72,215,,,31.7157
15168,3010.52,30.7121,3741.56,2289.26,1076.42,216,,,30.7121
1792,709.587,15.07,3430.1,2387.96,1069.22,217,,,15.07
27392,4637.06,37.4003,2869.08,3168.03,1080.46,218,,,37.4003
4864,1354.45,21.0216,3734.8,4085.21,1071.77,219,,,21.0216
1344,553.596,13.692,2206.77,4164.25,1066.74,220,,,13.692
2368,822.923,16.5372,2633.12,4308.62,1069.2,221,,,16.5372
490880,37596.2,97.8721,2545.72,4425.87,1114.09,222,,,97.8721
1728,663.479,14.8884,3154.96,4475.1,1070.34,223,,,14.8884
5184,1454.06,21.4728,2358.02,4675.5,1073.15,224,,,21.4728
1856,766.87,15.2473,2280.47,4888.9,1072.31,225,,,15.2473
2560,963.317,16.9726,2438.86,5104,1067.03,226,,,16.9726
6528,1763.68,23.1879,3154.52,846.24,1076.38,227,,,23.1879
7360,1855.57,24.1338,3731.34,1513.33,1075.97,228,,,24.1338
7360,1866.54,24.1338,3447.41,3105.64,1075.97,229,,,24.1338
9664,2412.86,26.4273,3677.34,3705.2,1077.95,230,,,26.4273
100608,12615.2,57.7047,2688.22,3992.32,1097.7,231,,,57.7047
1472,601.478,14.1136,3574.26,4183.62,1072.5,232,,,14.1136
29568,4685.07,38.3655,2520.11,4492.07,1085.81,233,,,38.3655
5248,1429.12,21.5608,3183.05,4758.57,1074.64,234,,,21.5608
3456,1077.19,18.7582,2205.4,4852.88,1074.86,235,,,18.7582
2176,785.953,16.0776,2935.07,1166.75,1077.17,236,,,16.0776
1728,675.165,14.8884,2458.96,1578.66,1075.38,237,,,14.8884
1728,688.527,14.8884,2463.1,1619.25,1074.04,238,,,14.8884
1600,640.435,14.5113,3221.2,3758.46,1077.65,239,,,14.5113
